id,name,price,point
1,Bếp ga đôi Sakura SA-717PG,1.550.000₫,4
2,Bếp ga đôi Kangaroo KG207G,650.000₫,4.3
3,Bếp ga đôi Sakura SA-692SG,990.000₫,4.2
4,Bếp ga đôi Sakura SA-690GH,1.090.000₫,4.2
5,Bếp ga đôi Sunhouse SHB3365,1.249.000₫,4.2
6,Bếp ga đôi Sunhouse SHB 201MT,690.000₫,4.3
7,Bếp ga đôi Sunhouse SHB3223MT,890.000₫,4.5
8,Bếp ga đôi Sakura SA-695SG,650.000₫,4.4
9,Bếp ga đôi Sunhouse Mama MMBB0787MT,1.640.000₫,4.2
10,Bếp ga mini Duxton DG-150,290.000₫,4.2
11,Bếp ga đơn Sunhouse SHB212KG,450.000₫,4.3
12,Bếp ga đôi Kangaroo KG519M,1.249.000₫,4.0
13,Bếp ga đôi Duxton DG-368,650.000₫,4.3
14,Bếp ga đôi Kangaroo KG8G1C,750.000₫,4.3
15,Bếp ga mini Namilux NH-P3031PS,420.000₫,4.6
16,Bếp ga mini Namilux NH-P3031AS,349.000₫,4.5
17,Bếp ga đôi Kangaroo KG516M,1.150.000₫,4.1
18,Bếp ga đôi Sunhouse Mama MMB3569MT,1.240.000₫,4.7
19,Bếp ga đôi Electrolux ETG7286GKR,2.890.000₫,3.6
20,Bếp ga đôi Sunhouse SHB3326MT,1.550.000₫,4.1
21,Bếp ga mini Namilux NH-P2915PS,390.000₫,4.5
22,Bếp ga đôi Electrolux ETG7266GKR,2.090.000₫,3.9
23,Bếp ga đôi Rinnai RV-MC27BE,1.000.000₫,4.3
24,Bếp ga âm Sunhouse SHB501MT,1.449.000₫,4.2
25,Bếp ga đôi Apex APB3551,1.510.000₫,4.1
26,Bếp ga âm Sunhouse SHB7736,3.590.000₫,3.2
27,Bếp ga đơn Duxton DG-250,390.000₫,4.5
28,Bếp ga đôi Sakura SA-2375GB,1.840.000₫,3.9
29,Bếp ga âm Electrolux EHG723BA,3.290.000₫,4.0
30,Bếp ga đôi Kangaroo KG526M,1.440.000₫,4.1
31,Bếp ga đơn Rinnai RV-MC15G,470.000₫,4.4
32,Bếp ga đôi Electrolux ETG7256GKR,1.990.000₫,4.0
33,Bếp ga âm Sunhouse SHB-6636,2.690.000₫,3.9
34,Bếp ga đôi Duxton DG-430,590.000₫,4.1
35,Bếp ga âm Sunhouse SHB5546MT,2.590.000₫,4.0
36,Bếp ga âm Electrolux EHG7230BE,4.240.000₫,3.8
37,Bếp ga mini Duxton DG-290,249.000₫,4.1
38,Bếp ga đơn Kiwa KW-300G,435.000₫,4.4
39,Bếp ga âm Sunhouse SHB5548MT,2.580.000₫,3.7
40,Bếp ga đôi Sunhouse SHB307MT,790.000₫,4.4
