id,name,price,point
1,Bếp hồng ngoại Delites 853,590.000₫,4.4
2,Bếp hồng ngoại Sunhouse SHD 6005(EMC),790.000₫,4.4
3,Bếp hồng ngoại Sunhouse SHD 6015(EMC),1.050.000₫,4.2
4,Bếp hồng ngoại Kangaroo KG20IFP1,649.000₫,4.4
5,Bếp hồng ngoại Sanaky SNK-2103HGN,1.250.000₫,4.1
6,Bếp hồng ngoại Sunhouse SHD 6017(EMC),1.000.000₫,4.4
7,Bếp hồng ngoại Sanaky SNK-2101HG,1.150.000₫,4.4
8,Bếp hồng ngoại Sanaky SNK2102HG,1.190.000₫,4.4
9,Bếp hồng ngoại Sanaky SNK-2524HGN,1.350.000₫,4.3
10,Bếp hồng ngoại Sunhouse SHD6024,990.000₫,4.4
11,Bếp hồng ngoại đôi lắp âm Sunhouse SHB9112MT,3.590.000₫,4.0
12,Bếp hồng ngoại AVA RPD-IC01,790.000₫,4.4
13,Bếp từ hồng ngoại lắp âm BlueStone ICB-6911,4.990.000₫,3.8
14,Bếp hồng ngoại Crystal P-27,890.000₫,4.7
15,Bếp hồng ngoại đôi lắp âm Malloca MH-7320R,6.890.000₫,4.2
16,Bếp từ hồng ngoại lắp âm Kangaroo KG499N,3.890.000₫,4
17,Bếp hồng ngoại Rapido RC2000ES,790.000₫,4.4
18,Bếp từ hồng ngoại lắp âm Chef's EH-MIX220,6.300.000₫,
19,Bếp từ hồng ngoại lắp âm Sunhouse Mama MMB9200MIX,7.490.000₫,4.5
20,Bếp từ hồng ngoại lắp âm Malloca MH-7311IR,7.590.000₫,3.5
21,Bếp từ hồng ngoại lắp âm KAFF KF-FL108,21.990.000₫,
22,Bếp từ hồng ngoại 3 vùng nấu lắp âm KAFF KF-IC3801,13.990.000₫,
23,Bếp từ hồng ngoại lắp âm KAFF KF-073IC,7.990.000₫,
24,Bếp hồng ngoại đôi lắp âm KAFF KF-073CC,7.590.000₫,5
