id,name,price,point
1,Bếp từ Electrolux ETD42SKS,2.590.000₫,4.1
2,Bếp từ Toshiba IC-20S4PV,1.600.000₫,4.2
3,Bếp từ Toshiba IC-20R2SV,,4.4
4,Bếp từ AVA MD-DC01,,4.1
5,Bếp từ Sunhouse SHD6805,,4.3
6,Bếp từ Sunhouse SHD6159,,4.3
7,Bếp từ đôi lắp âm Sunhouse SHB82082-VMD,5.090.000₫,
8,Bếp từ AVA AI-32,,4.4
9,Bếp từ đôi lắp âm Sunhouse SHB9111MT,2.590.000₫,3.8
10,Bếp từ đôi lắp âm Sunhouse Mama MMB82052-TMD,7.590.000₫,
11,Bếp từ đôi lắp âm Junger MK-22,,4.5
12,Bếp từ BlueStone ICB-6729,,4.3
13,Bếp từ Sunhouse SHD6867,,4.2
14,Bếp từ Toshiba IC-20S1PV,,4.0
15,Bếp từ Sunhouse SHD6162,,4.2
16,Bếp từ đôi lắp âm Hafele HC-I2712A (536.61.716),6.490.000₫,4.0
17,Bếp từ Electrolux ETD29MKC,,4.5
18,Bếp từ hồng ngoại lắp âm Sunhouse Mama MMB82041-TMD,6.590.000₫,
19,Bếp từ đôi lắp âm Pramie PRTH-2203,7.990.000₫,4.5
20,Bếp từ đôi lắp âm Sunhouse SHB82062-MMD,8.540.000₫,
21,Bếp từ BlueStone ICB-6609,,4.2
22,Bếp từ đôi lắp âm Pramie PRTH-A2,6.290.000₫,4.6
23,Bếp từ đôi lắp âm Hafele HC-I2732A (536.61.726),,4.3
24,Bếp từ hồng ngoại lắp âm Sunhouse SHB81051-VMD,3.490.000₫,
25,Bếp từ BlueStone ICB-6619,,4.2
26,Bếp từ đôi lắp âm Kangaroo KG856i,6.880.000₫,3.8
27,Bếp từ Electrolux ETD42SKR,,3.9
28,Bếp từ hồng ngoại lắp âm Sunhouse SHB82011-MMD,,
29,Bếp từ đôi lắp âm Junger CEJ-200-II,,4.6
30,Bếp từ hồng ngoại lắp âm Sunhouse SHB82071-VMD,4.790.000₫,
31,Bếp từ hồng ngoại lắp âm Pramie PRTH-A1,6.290.000₫,4.4
32,Bếp từ hồng ngoại lắp âm Junger SIS-66,,4.3
33,Bếp từ Kangaroo KG18IC1,,4.7
34,Bếp từ Galanz CH211E,,4.4
35,Bếp từ Kangaroo KG408I,,4.3
36,Bếp từ Electrolux ETD42SKA,,4.2
37,Bếp từ đôi lắp âm Pramie 2208,5.990.000₫,4.6
38,Bếp từ Hafele HSI-21FW (536.61.990),,4.5
39,Bếp từ hồng ngoại lắp âm Hafele HC-H7321B,,3.8
40,Bếp từ Kangaroo KG419i,,4.2
41,Bếp từ đôi lắp âm BlueStone ICB-6917,,4.5
42,Bếp từ đôi lắp âm Rapido RI4000DS,3.650.000₫,4.5
43,Bếp từ đôi lắp âm Kangaroo KG859i,,3.9
44,Bếp từ hồng ngoại lắp âm Pramie 2108,5.990.000₫,4.5
45,Bếp từ đôi lắp âm Hawonkoo CEH-211-II,,4.9
46,Bếp từ hồng ngoại lắp âm Kangaroo KG852i,,3.5
47,Bếp từ đôi lắp âm BlueStone ICB-6818,,4.4
48,Bếp từ hồng ngoại lắp âm BlueStone ICB-6911,,3.8
49,Bếp từ đôi lắp âm Bosch PPI8256EVN,,2.8
50,Bếp từ Kangaroo KG15IC1,,4.1
51,Bếp từ đôi lắp âm BlueStone ICB-6821,4.790.000₫,4.3
52,Bếp từ Pramie PRMY-1109,,
