id,name,price,point
1,Bình giữ nhiệt inox 2000 ml Delites XB-20156,360.000₫,4.4
2,Bình giữ nhiệt inox 500 ml Delites Z5A,90.000₫,4.4
3,Bình giữ nhiệt Inox 750 ml Delites Z90A,279.000₫,
4,Bình giữ nhiệt inox 670 ml Delites XB-20109,250.000₫,4.4
5,Bình giữ nhiệt inox 620 ml Delites XB-22135,149.000₫,4.9
6,Ly giữ nhiệt inox 500 ml Delites TH5002,105.000₫,4.3
7,Bình giữ nhiệt Inox 550 ml Delites Z91,199.000₫,
8,Bình giữ nhiệt inox 800 ml Delites TH9136,195.000₫,4.3
9,Bình giữ nhiệt inox 400 ml Delites XB-21136,130.000₫,4.6
10,Bình giữ nhiệt inox 520 ml Delites Z69A,138.000₫,4.2
11,Bình giữ nhiệt inox 520 ml Delites K520BRL,120.000₫,4.5
12,Ly giữ nhiệt inox 500 ml Delites Q10A đen,130.000₫,4.6
13,Bình giữ nhiệt inox 350 ml Delites K350B73,90.000₫,4.4
14,Bình giữ nhiệt inox 600 ml Delites XB-21133,199.000₫,4.1
15,Bình giữ nhiệt inox 500 ml Delites TH05066,99.000₫,3.6
16,Bình giữ nhiệt inox 1000 ml Delites TH2321,219.000₫,4.8
17,Bình giữ nhiệt Inox 500 ml Delites Z102 xanh lá,120.000₫,1
18,Bình giữ nhiệt inox 350 ml Delites K350B200,110.000₫,4.5
19,Bình giữ nhiệt inox 450 ml Delites K450B37,127.000₫,4.3
20,Bình giữ nhiệt inox 500 ml Delites TH3017,109.000₫,4.5
21,Bình giữ nhiệt inox 320 ml Delites TH6002,130.000₫,4.7
22,Bình giữ nhiệt inox 500 ml Delites Z53A,150.000₫,4.4
23,Bình giữ nhiệt Inox 500 ml Delites XB-23136 hồng,288.000₫,
24,Bình giữ nhiệt inox 530 ml Delites Y1 xanh lá,140.000₫,4.8
25,Bình giữ nhiệt inox 560 ml Delites K560B72,100.000₫,4.4
