id,name,price,point
1,Bình thủy điện Sharp KP-30STV RB 2.9 lít,1.034.000₫,4.3
2,Bình thủy điện Sunhouse SH 1535 3.5 lít,1.200.000₫,4.2
3,Bình thủy điện Sunhouse SHD1533 3.3 lít,749.000₫,4.0
4,Bình thủy điện Toshiba PLK-45SF(WT)VN 4.5 lít,2.340.000₫,4.5
5,Bình thủy điện Panasonic NC-EG3000CSY 3 lít,1.990.000₫,4.5
6,Bình thủy điện Panasonic NC-EG4000CSY 4 lít,2.350.000₫,4.5
7,Bình đun siêu tốc Hafele 1.7 lít T-602C (535.43.732),690.000₫,4.3
8,Bình thủy điện Sunhouse SHD1440 3.2 lít,1.110.000₫,
9,Bình thủy điện Kangaroo KG5K1 5 lít,1.290.000₫,4.3
10,Bình đun siêu tốc Sunhouse Mama 1.7 lít SHD1333,810.000₫,4.5
11,Bình đun siêu tốc Lock&Lock 1.8 lít EJK341,820.000₫,
12,Bình thủy điện Sharp KP-40EBV-BK 4 lít,1.550.000₫,4.2
13,Bình thủy điện Panasonic NC-EG2200CSY 2.2 lít,1.980.000₫,4.8
14,Bình đun siêu tốc Philips 1.7 lít HD9316,880.000₫,4.5
15,Bình thủy điện Sharp KP-30STV 2.9 lít,1.010.000₫,4.2
16,Bình thủy điện Sharp KP-31BTV- CU 2.8 lít,790.000₫,4.2
17,Bình đun siêu tốc Sunhouse 1.7 lít SHD1388G,655.000₫,4.4
18,Bình thủy điện Sharp KP-Y40PV-CU 4 lít,1.880.000₫,3.9
19,Bình thủy điện Sharp KP-Y32PV-CU 3 lít,1.660.000₫,4.4
20,Bình thủy điện lọc nước Bear BWP-T402301G 4 lít,1.690.000₫,
21,Bình đun siêu tốc BlueStone 1.5 lít KTB-3471,899.000₫,
22,Bình đun siêu tốc Lock&Lock 1.7 lít EJK136SLV,840.000₫,4.1
