id,name,price,point
1,Camera IP 360 Độ 3MP IMOU TA32CP-L,470.000₫,4.0
2,Camera IP 360 Độ 2MP TP-Link Tapo C200C,390.000₫,
3,Camera IP 360 Độ 2MP TIANDY TC-H322N,390.000₫,4.0
4,Camera IP 360 Độ 2MP IMOU Ranger 2C A22EP-L,550.000₫,4.3
5,Camera IP 360 Độ 2MP Ezviz C6N,390.000₫,4.0
6,Camera IP 360 Độ 2MP TP-Link Tapo TC70,390.000₫,4.4
7,Camera IP 360 Độ 3MP EZVIZ TY1,500.000₫,1.7
8,Camera IP 360 Độ 3MP IMOU RANGER RC GK2CP-3C0WR,520.000₫,4.2
9,Camera IP 360 Độ 3MP 365 Selection C1,365.000₫,5
10,Camera IP 360 Độ 3MP TP-Link Tapo C210,450.000₫,4.3
11,Camera IP 360 Độ 3MP BOTSLAB C212,430.000₫,4.0
12,Camera IP Ngoài trời 360 Độ 4MP TP-Link Tapo C520WS,990.000₫,3.8
13,Camera IP 360 Độ 5MP 365 Selection C2,750.000₫,
14,Camera IP Ngoài Trời 3MP TP-Link Tapo TC65,690.000₫,4.3
15,Camera IP 360 Độ 4MP TP-Link Tapo C220,630.000₫,
