id,name,price,point
1,Chuột Có dây Gaming Rapoo V11s,200.000₫,
2,Chuột sạc Không dây Gaming Rapoo V300 SE,590.000₫,
3,Chuột sạc Không dây Gaming Rapoo VT9 Air,990.000₫,
4,Chuột sạc Không dây Gaming Logitech G502 X Plus Lightspeed,3.085.000₫,
5,Chuột sạc Bluetooth Apple MK2E3,1.890.000₫,4.6
6,Chuột Không Dây Silent Rapoo B2S,145.000₫,4.4
7,Chuột Không dây DareU LM106G,100.000₫,4.4
8,Chuột Không dây Logitech M170,185.000₫,4.4
9,Chuột Không dây Rapoo M216,110.000₫,4.2
10,Chuột Bluetooth Silent Logitech M240,310.000₫,4.3
11,Chuột Không Dây Logitech M171,260.000₫,4.5
