id,name,price,point
1,Dao gọt inox chống dính BHX LD-KS125UT,,4.6
2,Dao gọt inox Delites CW-P033-2,,
3,Bộ dao inox Delites LK-2205,,4.4
4,Dao chặt inox Delites CW KF20,,4.2
5,Dao thái inox Delites LK 2309,,5
6,Dao gọt inox Delites PT2116-E,,4.6
7,Dao chặt inox Delites LK-2102,,4.0
8,Dao thái inox Delites LK 2306,,5
9,Bộ dao inox Delites LK2310-W,,5
10,Dao gọt inox Delites LK 2307,,3
11,Dao chặt inox Delites CW-KF23,,4.6
12,Bộ dao inox Delites LK2311,,5
13,Dao thái inox Delites CW-S013,,
14,Dao thái inox Delites CW-H032,,
15,Dao thái inox Delites LK-2105,,4.8
16,Dao bào chữ Y inox Delites LD-GR850,,4.7
17,Dao thái inox Delites CW-S001,,
18,Dao chặt inox Delites P2021-P1,,4.8
19,Dao thái inox Delites LK-2103,,4.1
20,Dao thái inox BHX LD-KS125CF,,4.7
21,Dao thái inox Delites LK-2104,,4.2
22,Dao bào chữ Y inox Delites JD-002,,
23,Dao gọt inox Delites LD-KB011TUT,,4.6
24,Dao thái inox Delites PT1103-Q,,4.7
25,Dao gọt inox Delites LK-2207A,,4.7
26,Dao thái inox Delites CW-F046-2,,
27,Dao bào chữ Y inox Delites LD-GR861,,4.8
28,Dao thái inox Delites LK-2207B,,4.5
29,Dao thái inox Delites CW-KF81,,4.8
30,Dao thái inox Delites B2109-A,,4.6
31,Dao thái inox Delites CW-S016A-2,,
32,Dao thái inox Delites CW-H034,,5
33,Dao thái inox Delites CW-F049,,
34,Dao bào chữ Y inox Delites JD-008,,
35,Dao chặt inox Delites TD001- P,,4.6
36,Dao gọt inox Delites CW-H040,,
37,Dao chặt inox Delites CF7172,,4.5
38,Dao chặt inox Delites CW-KF24,,4.1
39,Dao thái inox Delites CW-KF83,,4.6
40,Dao chặt inox Delites CW KF19,,4.8
41,Dao thái inox Delites LK 2308,,4.5
42,Dao chặt inox Delites CW-KF22,,4.3
43,Dao thái inox Delites CW-H031,,5
44,Dao thái inox Delites CW-H030,,
45,Dao thái inox Delites B2109-Q,,4.8
46,Dao thái inox Delites CW-H033,,
47,Dao thái inox Delites CW-F046-1,,
48,Dao bào đa năng inox BHX LD GR801,,4.2
49,Dao thái inox DMX D002-DT3,,4.8
50,Bộ dao kéo inox Delites LK-2431,,
51,Dao thái inox Delites LK-2432,,
52,Dao gọt inox Delites LK-2433,,
53,Dao thái inox Delites LK-2434,,
54,Dao gọt inox Delites LK-2435,,
55,Dao thái inox Delites LK-2436,,
