id,name,price,point
1,Điện thoại iPhone 16 Pro Max 256GB,,2.8
2,Điện thoại iPhone 16 Pro 128GB,,2.2
3,Điện thoại iPhone 16 Plus 128GB,,1
4,Điện thoại iPhone 16 128GB,22.290.000₫,1
5,Điện thoại iPhone 15 Pro Max 256GB,29.790.000₫,3.7
6,,,
7,Điện thoại Xiaomi Redmi Note 13 8GB/128GB,,3.2
8,Điện thoại realme C65s 6GB/128GB,,3.8
9,Điện thoại realme C65 8GB/128GB,3.790.000₫,3.9
10,Điện thoại iPhone 15 Pro 256GB,28.390.000₫,4.5
11,Điện thoại iPhone 15 Plus 128GB,22.790.000₫,4.4
12,Điện thoại Samsung Galaxy Z Fold6 5G 12GB/256GB,,4.9
13,Điện thoại Samsung Galaxy A55 5G 8GB/128GB,,4.3
14,Điện thoại vivo V40 Lite 8GB/256GB,,
15,Điện thoại iPhone 15 128GB,19.790.000₫,4.5
16,Điện thoại Samsung Galaxy Z Flip6 5G 12GB/256GB,,5
17,Điện thoại vivo Y28 8GB/128GB,,3.6
18,Điện thoại iPhone 14 Plus 128GB,20.090.000₫ *,4.5
19,Điện thoại Samsung Galaxy M35 5G 8GB/256GB,,4.1
20,Điện thoại Xiaomi Redmi Note 13 Pro 8GB/128GB,,3.4
21,Điện thoại iPhone 14 128GB,17.390.000₫ *,4.4
22,Điện thoại Xiaomi Redmi 13 8GB/128GB,,3.4
23,Điện thoại OPPO A3x 4GB/64GB,,3.2
24,Điện thoại iPhone 13 128GB,,4.2
25,Điện thoại Xiaomi Redmi 14C 4GB/128GB,,4
26,Điện thoại realme Note 50 3GB/64GB,,3.8
27,Điện thoại realme Note 60 4GB/64GB,,
28,Điện thoại Samsung Galaxy M54 5G 8GB/256GB,,2.8
29,Điện thoại iPhone 12 64GB,,4.2
30,Điện thoại Samsung Galaxy S23 FE 5G 8GB/128GB Xanh mint/Trắng,,3.0
31,Điện thoại OPPO Reno11 F 5G 8GB/256GB Tím,,3.7
32,Điện thoại iPhone 11 64GB,,4.1
33,Điện thoại Samsung Galaxy A35 5G 8GB/128GB,,4.3
34,Điện thoại OPPO A3 8GB/128GB,,2.4
35,Điện thoại OPPO A18 4GB/64GB,,4
36,Điện thoại Samsung Galaxy S24 Ultra 5G 12GB/256GB,,4.0
37,Điện thoại Xiaomi Redmi A3 3GB/64GB,,3.8
38,Điện thoại vivo Y100 8GB/128GB,,4.2
39,Điện thoại vivo Y03 4GB/64GB,,4
40,Điện thoại Samsung Galaxy M55 5G 8GB/256GB,9.690.000₫,2
41,,,
42,Điện thoại OPPO Reno12 5G 12GB/256GB,,3.7
43,Điện thoại OPPO Reno12 5G 12GB/256GB Hồng,,3.8
44,Điện thoại OPPO Reno12 F 5G 12GB/256GB,,3.2
45,Điện thoại OPPO Reno12 Pro 5G 12GB/512GB,,5
46,Điện thoại Samsung Galaxy S24 5G 8GB/256GB,,4.1
47,Điện thoại Samsung Galaxy S24+ 5G 12GB/256GB,,4.3
48,Điện thoại realme C67 8GB/128GB,3.890.000₫,3.9
49,Điện thoại realme C53 6GB/128GB,,4.3
50,Điện thoại OPPO A38 6GB/128GB,4.390.000₫,4.0
51,Điện thoại vivo Y17s 4GB/64GB,,4.1
52,Điện thoại vivo Y36 8GB/256GB,,4.2
53,Điện thoại OPPO Reno11 Pro 5G 12GB/512GB,,4.8
54,Điện thoại Samsung Galaxy A15 5G 8GB/256GB,,3.3
55,Điện thoại Samsung Galaxy A05s 6GB/128GB,,3.1
56,Điện thoại Samsung Galaxy A15 8GB/128GB,,3.6
57,Điện thoại Samsung Galaxy A25 5G 8GB/128GB,,3.3
58,Điện thoại Xiaomi Redmi Note 13 Pro 5G 8GB/256GB,,3.5
59,Điện thoại Samsung Galaxy S23 Ultra 5G 8GB/256GB,19.490.000₫,4.4
60,Điện thoại OPPO Reno10 Pro+ 5G 12GB/256GB,,3.7
