id,name,price,point
1,Vòng tay thông minh Samsung Galaxy Fit3,1.390.000₫,3.8
2,Vòng đeo tay thông minh Mi Band 8 Pro,1.490.000₫,4.4
3,Đồng hồ thông minh Huawei Watch D2 48mm,8.990.000₫,
4,Đồng hồ thông minh Huawei Watch Ultimate 48.5mm viền gốm dây Titanium,19.990.000₫,
5,Đồng hồ thông minh Huawei Watch GT 5 Pro 46mm viền Titanium dây cao su,7.490.000₫,
6,Đồng hồ thông minh Samsung Galaxy Watch5 40mm,2.990.000₫,4.3
7,Đồng hồ thông minh Huawei Watch GT 5 Pro 42mm viền gốm dây gốm,12.990.000₫,
8,Đồng hồ thông minh Huawei Watch GT 5 Pro 46mm viền Titanium dây Titanium,10.990.000₫,
9,Đồng hồ thông minh Huawei Watch GT 5 Pro 42mm viền gốm dây cao su,8.990.000₫,
10,Đồng hồ thông minh Xiaomi Watch S3 47mm,3.290.000₫,3.2
11,Đồng Hồ Định Vị Trẻ Em imoo Z1 Xanh dương,2.790.000₫,2.5
12,Đồng Hồ Định Vị Trẻ Em imoo Z1 Hồng Nhạt,2.790.000₫,4
13,Đồng hồ thông minh Huawei Watch GT 5 46mm viền thép dây da,5.490.000₫,
14,Đồng hồ thông minh Garmin Venu SQ 2 40.6mm,4.990.000₫,4.5
15,Đồng hồ thông minh Xiaomi Redmi Watch 5 Active 49.1mm,790.000₫,5
16,Đồng hồ thông minh Garmin Fenix 8 Sapphire 47mm viền Titanium,29.990.000₫,
17,Đồng hồ thông minh Garmin Fenix 8 47mm viền thép,26.990.000₫,
18,Đồng hồ thông minh Garmin Fenix 8 Sapphire 51mm viền Titanium,31.990.000₫,
19,Đồng hồ thông minh Garmin Fenix 8 Sapphire 43mm viền Titanium,29.990.000₫,
20,Vòng đeo tay thông minh Mi Band 8,790.000₫,4.0
21,Apple Watch Series 10 46mm viền nhôm dây thể thao,11.790.000₫,5
22,Đồng hồ thông minh Xiaomi Redmi Watch 3 42.6mm,1.990.000₫,4.2
23,Đồng hồ thông minh Xiaomi Redmi Watch 3 Active 46mm,1.090.000₫,3.5
24,Đồng hồ định vị trẻ em Masstel Smart Hero 5,1.250.000₫,3.9
25,Đồng hồ thông minh Garmin Lily 2 Classic 34mm dây vải,7.590.000₫,
26,Đồng hồ thông minh Xiaomi Watch 2 Pro 46 mm Đen,5.290.000₫,3
27,Đồng hồ thông minh Samsung Galaxy Watch4 40mm,2.490.000₫,4.2
28,Đồng hồ thông minh Garmin Forerunner 165 Music 43mm,7.590.000₫,4.8
29,Đồng hồ thông minh Garmin Forerunner 965 47.2mm,15.660.000₫,4.8
30,Đồng hồ thông minh Garmin Venu SQ 2 Music 40.6mm,5.890.000₫,4.4
31,Đồng hồ thông minh BeFit WatchS 45mm dây silicone,990.000₫,3.5
32,Đồng hồ thông minh Garmin Vivoactive 5 42.2mm dây silicone,7.870.000₫,4.5
33,Đồng hồ thông minh BeFit Sporty 2 Pro 44.8mm,990.000₫,3.3
34,Đồng hồ thông minh BeFit B3s 44mm,590.000₫,4.0
35,Đồng hồ định vị trẻ em Kidcare S6 4G,1.760.000₫,3.7
36,Đồng hồ thông minh Xiaomi Redmi Watch 5 Lite 48.2mm,1.290.000₫,2.8
37,Vòng đeo tay thông minh Mi Band 9,990.000₫,3.5
38,Đồng hồ thông minh Huawei Watch Fit 3 43.2mm,2.790.000₫,4.2
