id,name,price,point
1,Kéo nhà bếp đa năng Delites LD-992C,60.000₫,4.6
2,Kéo nhà bếp thép không gỉ 2Cr13 Delites KE004,30.000₫,4.9
3,Kéo nhà bếp thép không gỉ 2Cr13 Delites SKI079,67.000₫,4.6
4,Kéo nhà bếp đa năng Delites S53014,32.000₫,4.7
5,Kéo nhà bếp đa năng BHX LD-893C,56.000₫,4.5
6,Kéo cắt xương thép không gỉ 2Cr13 Delites S51019,77.000₫,
7,Kéo cắt xương thép không gỉ 2Cr13 Delites SKI052,42.000₫,4.5
8,Kéo nhà bếp đa năng Delites TP9158-2025,50.000₫,4.5
9,Kéo nhà bếp đa năng Delites SKI111,60.000₫,
10,Kéo cắt xương thép không gỉ BHX KS-01,80.000₫,4.1
11,Kéo nhà bếp đa năng Delites 9230-2125,50.000₫,5
12,Kéo nhà bếp đa năng Delites SSKI022,60.000₫,5
13,Kéo nhà bếp đa năng Delites SKI099,60.000₫,
14,Kéo cắt xương thép không gỉ 2Cr13 Delites S51013,70.000₫,4.5
15,Kéo nhà bếp đa năng Delites SKI089,60.000₫,
