id,name,price,point
1,Laptop HP 15 fc0085AU R5 7430U/16GB/512GB/Win11 (A6VV8PA),13.590.000₫ *,3.8
2,Laptop Dell Inspiron 15 3520 i5 1235U/16GB/512GB/120Hz/OfficeHS/KYHD/Win11,16.490.000₫ *,3.8
3,Laptop HP 15 fd0303TU i3 1315U/8GB/512GB/Win11 (A2NL4PA),11.290.000₫ *,5
4,Laptop Asus Vivobook X1404ZA i5 1235U/16GB/512GB/Win11 (NK376W),14.490.000₫ *,1.9
5,Laptop Asus Vivobook 15 OLED A1505ZA i5 12500H/16GB/512GB/120Hz/Win11 (MA415W),17.490.000₫ *,4.2
6,Laptop HP 15 fd0234TU i5 1334U/16GB/512GB/Win11 (9Q969PA),16.790.000₫ *,4
7,Laptop Lenovo Ideapad Slim 3 15IAH8 i5 12450H/16GB/512GB/Win11 (83ER000EVN),14.490.000₫ *,4.3
8,Laptop Acer Aspire 3 A315 44P R9W8 R7 5700U/8GB/512GB/Win11 (NX.KSJSV.002),10.690.000₫ *,4.5
9,Laptop Asus Vivobook X1404ZA i3 1215U/8GB/512GB/Win11 (NK246W),9.990.000₫ *,3.5
10,Laptop Apple MacBook Air 13 inch M1 8GB/256GB (MGN63SA/A),18.490.000₫,4.4
11,Laptop HP 245 G10 R5 7530U/8GB/512GB/Win11 (A20TDPT),12.490.000₫ *,4
12,Laptop Asus Gaming Vivobook K3605ZF i5 12500H/16GB/512GB/4GB RTX2050/Win11 (RP745W),16.990.000₫ *,4.6
13,Laptop Acer Aspire Lite 14 51M 36MH i3 1215U/8GB/256GB/Win11 (NX.KTVSV.001),9.190.000₫ *,5
14,Laptop Apple MacBook Air 13 inch M2 8GB/256GB (MLY33SA/A),23.490.000₫,4.6
15,Laptop Acer Aspire Lite 14 51M 59BN i5 1235U/16GB/512GB/Win11 (NX.KTXSV.001),13.490.000₫ *,
16,Laptop HP 240 G9 i5 1235U/16GB/512GB/Win11 (AG2J7AT),15.990.000₫ *,
17,Laptop Lenovo Ideapad Slim 3 15AMN8 R5 7520U/16GB/512GB/Win11 (82XQ00J0VN),12.490.000₫ *,2
