id,name,price,point
1,Bếp nướng điện Sunhouse SHD4602,1.240.000₫,4.2
2,Bếp nướng điện Sunhouse SHD4603 1500W,1.050.000₫,3.9
3,Bếp nướng điện Sunhouse SHD4600 1600W,580.000₫,4.4
4,Bếp nướng điện Sunhouse SHD4607 1500W,470.000₫,4.4
5,Lò nướng Sanaky VH259S2D 25 lít,1.350.000₫,4.3
6,Lò nướng Sanaky VH5099S2D 50 lít,2.690.000₫,4.2
7,Lò nướng Sanaky VH3599S2D 35 lít,2.290.000₫,4.2
8,Lò nướng Sunhouse Mama SHD4250S 50 lít,2.645.000₫,4.3
9,Lò Nướng Sanaky VH 5088N2D 50 lít,3.090.000₫,4.0
10,Bếp nướng điện Kangaroo KG 699 2000 W,710.000₫,4.5
11,Lò nướng Sharp EO-A384RCSV-ST 38 lít,2.790.000₫,4.2
12,Lò nướng Panasonic NB-H3801KRA 38 lít,3.940.000₫,3.4
13,Lò nướng BlueStone EOB-7548 38 lít,1.749.000₫,4.2
14,Lò nướng Electrolux EOT3218XG 32 lít,2.555.000₫,4.3
15,Lò nướng Electrolux EOT4022XFG 40 lít,3.410.000₫,4.3
16,Bếp nướng điện Delites BN02 1800W,550.000₫,4.1
17,Lò nướng Sanaky LN.VH809S2D 80 lít,2.990.000₫,3.8
18,Bếp nướng điện Bear DKL-D20M2,1.000.000₫,5
19,Lò nướng Sharp EO-A323RCSV-ST 32 lít,2.250.000₫,4.4
20,Lò nướng Kangaroo KG5201 52 lít,2.690.000₫,4.0
21,Bếp nướng điện Kangaroo KG 699G 2000 W,559.000₫,4.3
22,Lò nướng Panasonic NB-H3203KRA 32 lít,3.830.000₫,4.7
23,Lò nướng BlueStone EOB-7588 42 lít,1.590.000₫,4.2
24,Lò nướng âm Bosch HBF113BR0A 66 lít,10.790.000₫,5
25,Lò nướng Kangaroo KG4001 40 lít,2.450.000₫,4.4
26,Bếp nướng điện Delites AD-G48 1500W,390.000₫,4.5
27,Bếp nướng điện BlueStone EGB-7408 1450W,980.000₫,4.2
28,Bếp nướng điện BlueStone EGB-7417 2000W,1.490.000₫,4.4
29,Lò nướng Electrolux EOT30MXC 30 lít,1.590.000₫,4.3
30,Lò nướng Kangaroo KG3201 32 lít,1.990.000₫,4.1
31,Lò nướng Toshiba TL-MC40EZF(GR) 40 lít,3.290.000₫,4
32,Lò nướng Electrolux EOT38MXC 38 lít,2.190.000₫,4.1
33,Lò nướng BlueStone EOB-7567 45 lít,2.390.000₫,3.8
34,Lò nướng Toshiba TL-MC35Z 35 lít,2.690.000₫,3.8
35,Lò nướng âm Bosch HBA5360B0K 71 lít,13.760.000₫,
36,Lò nướng âm KAFF KF-T90S 67 lít,19.990.000₫,
