id,name,price,point
1,Lò vi sóng Toshiba MWP-MM20P(BK) 20 lít,,4.4
2,Lò vi sóng Toshiba MW3-MM25PE(BK) 25 lít,,4.6
3,Lò vi sóng Sharp R-205VN(S) 20 lít,,4.5
4,Lò vi sóng Toshiba ER-SM20(W1)VN 20 lít,,4.3
5,Lò vi sóng Electrolux EMM23K22B 23 lít,,4.5
6,Lò vi sóng Samsung MS20A3010AL/SV 20 lít,,
7,Lò vi sóng có nướng Sharp R-G302VN-S 23 lít,,4.4
8,Lò vi sóng có nướng BlueStone MOB-7716 20 lít,1.690.000₫,4.3
9,Lò vi sóng Electrolux EMM20K22W 20 lít,1.549.000₫,4.4
10,Lò vi sóng Toshiba MM-EM25PE(BM) 25 lít,2.440.000₫,4.9
11,Lò vi sóng có nướng Toshiba ER-SGM20(S1)VN 20 lít,,4.2
12,Lò vi sóng có nướng Sharp R-G222VN-S 20 lít,1.830.000₫,4.4
13,Lò vi sóng có nướng Sharp R-G371VN-W 23 lít,,4.2
14,Lò vi sóng có nướng Electrolux EMG23K22B 23 lít,,4.5
15,Lò vi sóng có nướng Samsung MG23K3575AS/SV-N 23 lít,,4.3
16,Lò vi sóng Samsung MS23K3513AS/SV-N 23 lít,,4.5
17,Lò vi sóng có nướng Sharp R-G251TV-BK 25 lít,,4
18,Lò vi sóng Sharp R-211TV-BK 21 lít,,4
19,Lò vi sóng có nướng Toshiba ER-SGS23(S1)VN 23 lít,2.590.000₫,4.6
20,Lò vi sóng BlueStone MOB-7708B 20 lít,1.540.000₫,4.4
21,Lò vi sóng có nướng Panasonic NN-GT35NBYUE 24 lít,,4.5
22,Lò vi sóng có nướng Electrolux EMG23D22B 23 lít,2.490.000₫,4.3
23,Lò vi sóng Toshiba ER-SS23(W1)VN 23 lít,,4.2
24,Lò vi sóng Panasonic NN-SM33NBYUE 25 lít,,4.8
25,Lò vi sóng có nướng Electrolux EMG20K22B 20 lít,,4.5
26,Lò vi sóng BlueStone MOB-7733 25 lít,,4.3
27,Lò vi sóng có nướng Sharp R-G52XVN-ST 25 lít,,4.4
28,Lò vi sóng có nướng Toshiba ER-SGS34(S1)VN 34 lít,,4.3
29,Lò vi sóng Panasonic NN-ST25JWYUE 20 lít,,4.6
30,Lò vi sóng có nướng Panasonic NN-GM34NBYUE 24 lít,,4.5
31,Lò vi sóng có nướng Sharp R-C932XVN-BST 32 lít,,3.6
32,Lò vi sóng có nướng Sharp R-G728XVN-BST 28 lít,,4.2
33,Lò vi sóng có nướng Panasonic NN-CT36HBYUE 23 lít,4.790.000₫,4
34,Lò vi sóng có nướng Sharp R-G211TV-BK 21 lít,,
35,Lò vi sóng có nướng Samsung MG30T5018CK/SV 30 lít,,4.5
36,Lò vi sóng có nướng BlueStone MOB-7816 20 Lít,,4.4
37,Lò vi sóng Electrolux EMM23D22B 23 lít,,4.7
38,Lò vi sóng có nướng BlueStone MOB-7741 25 lít,,4.5
39,Lò vi sóng có nướng Samsung MG23T5018CK/SV 23 Lít,,4.7
40,Lò vi sóng có nướng Panasonic NN-CT66MBYUE 27 lít,,4.9
