id,name,price,point
1,Màn hình MSI Pro MP225 21.45 inch FHD/IPS/100Hz/1ms/HDMI,1.790.000₫,4.6
2,Màn hình Samsung S3 S33GC LS24C330GAEXXV 24 inch FHD/IPS/100Hz/4ms/HDMI/FreeSync,2.390.000₫,4.3
3,Màn hình Xiaomi A27i 27 inch FHD/IPS/100Hz/6ms/HDMI (ELA5345EU),2.290.000₫,3.9
4,Màn hình Samsung S3 S33GC LS27C330GAEXXV 27 inch FHD/IPS/100Hz/4ms/HDMI,2.990.000₫,4.0
5,Màn hình Asus VY249HF-R 23.8 inch FHD/IPS/100Hz/1ms/HDMI,2.290.000₫,
6,Màn hình Xiaomi Gaming G27i 27 inch FHD/IPS/165Hz/1ms/FreeSync/HDMI,3.190.000₫,
7,Màn hình cong Samsung S3 S36C LS27C360EAEXXV 27 inch FHD/VA/FreeSync/75Hz/4ms/HDMI,2.890.000₫,4.4
8,Màn hình MSI PRO MP223 E2 21.45 inch FHD/VA/100Hz/1ms,1.590.000₫,
9,Màn hình Samsung S3 S31C LS24C310EAEXXV 24 inch FHD/IPS/75Hz/5ms/FreeSync/HDMI,2.290.000₫,4.8
10,Màn hình Xiaomi A24i 23.8 inch FHD/IPS/100Hz/6ms/HDMI,2.190.000₫,4.1
11,Màn hình Asus VA27EHF 27 inch FHD/IPS/100Hz/1ms/HDMI,2.990.000₫,4.5
12,Màn hình MSI MP2412 23.8 inch FHD/VA/100Hz/1ms/HDMI,1.990.000₫,4.7
13,Màn hình Asus VA24EHF 23.8 inch FHD/IPS/100Hz/1ms/HDMI,2.290.000₫,4.6
14,Màn hình MSI Pro MP275 27 inch FHD/IPS/100Hz/1ms/HDMI,2.990.000₫,4.6
15,Màn hình Gaming Asus TUF VG249Q3A 23.8 inch FHD/IPS/180Hz/1ms/FreeSync/DisplayPort/HDMI,3.190.000₫,4.8
16,Màn hình Gaming Acer K243Y E 23.8 inch FHD/IPS/100Hz/1ms/HDMI,2.290.000₫,4
17,Màn hình MSI PRO MP251 24.5 inch FHD/IPS/100Hz/1ms/HDMI,2.290.000₫,3.7
18,Màn hình Gaming Samsung Odyssey G5 G51C LS27CG510EEXXV 27 inch 2K/VA/165Hz/1ms/FreeSync/HDR10/DisplayPort,4.790.000₫,4.8
19,Màn hình Gaming Samsung Odyssey G5 G55C LS27CG552EEXXV 27 inch 2K/VA/165Hz/1ms/HDMI/DisplayPort,5.590.000₫,
20,Màn hình Asus VZ27EHE 27 inch FHD/IPS/75Hz/1ms/FreeSync/HDMI/VGA,2.690.000₫,5
21,Màn hình MSI Gaming G255F 24.5 inch FHD/IPS/180Hz/1ms,3.190.000₫,5
22,Màn hình MSI PRO MP251 E2 24.5 inch FHD/IPS/120Hz/1ms,2.490.000₫,
23,Màn hình Viewsonic VA2432-H 23.8 inch FHD/IPS/100Hz/1ms,2.190.000₫,
24,Màn hình Dell E2222HS 21.45 inch FHD/VA/60Hz/5ms/HDMI,2.490.000₫,4
25,Màn hình Gaming Samsung Odyssey G5 G55C LS32CG552EEXXV 32 inch 2K/VA/165Hz/1ms/HDMI/DisplayPort,6.290.000₫,
26,Màn hình Asus Gaming ROG Strix XG27ACS 27 inch 2K/IPS/180Hz/1ms,6.590.000₫,
27,Màn hình Viewsonic VA2732-H 27 inch FHD/IPS/100Hz/1ms/HDMI,2.690.000₫,4.4
28,Màn hình AOC Gaming 24G4E/74 23.8 inch FHD/Fast IPS/180Hz/0.5ms/HDMI,3.090.000₫,5
29,Màn hình Samsung ViewFinity S8 S80UD LS27D804UAEXXV 27 inch 4K/IPS/60Hz/5ms,8.290.000₫,
30,Màn hình Asus ProArt PA247CV 23.8 inch FHD/IPS/75Hz/5ms/DisplayPort/TypeC,5.490.000₫,4.5
