id,name,price,point
1,Máy ép chậm AVA SJ-051C,1.490.000₫,
2,Máy ép trái cây Hafele GS-353 (535.43.086),990.000₫,3.8
3,Máy ép trái cây Philips HR1811,1.070.000₫,4.2
4,Máy ép trái cây AVA AJ02,750.000₫,4.0
5,Máy ép chậm Sunhouse SHD5503,2.090.000₫,4.1
6,Máy ép chậm Crystal ZZJ821ML,1.790.000₫,4.2
7,Máy ép trái cây Panasonic MJ-CS100WRA,1.590.000₫,4.2
8,Máy ép trái cây Crystal GS-333,990.000₫,4.2
9,Máy ép chậm AVA SJ-009,1.450.000₫,4.2
10,Máy ép chậm Sunhouse SHD5518,1.390.000₫,4
11,Máy ép chậm Sunhouse Mama SHD5505,2.350.000₫,4.1
12,Máy ép trái cây BlueStone JEB-6545,1.290.000₫,4.1
13,Máy ép chậm Hafele GS-133N (535.43.811),2.090.000₫,4.0
14,Máy ép chậm Hawonkoo SJH-002-GR,1.990.000₫,4.1
15,Máy ép trái cây Philips HR1832/00,1.990.000₫,4.8
16,Máy ép trái cây Panasonic MJ-CB100WRA,2.490.000₫,3.5
17,Máy ép chậm Hafele HS-J42S (535.43.392),2.890.000₫,3.7
18,Máy ép chậm BlueStone SJB-6556,1.490.000₫,3.7
19,Máy ép trái cây Philips HR1863,3.290.000₫,4.4
20,Máy ép chậm Kangaroo KG200SJ,2.390.000₫,3.7
21,Máy ép chậm Kangaroo KG1B8,1.890.000₫,3.9
22,Máy ép chậm Kangaroo KG200SJD1,2.790.000₫,3.7
23,Máy ép chậm BlueStone SJB-6568,3.990.000₫,3.4
24,Máy ép chậm Sunhouse SHD5512,1.490.000₫,3.6
25,Máy ép chậm BlueStone SJB-6558,4.990.000₫,3.5
26,Máy xay ép đa năng BlueStone BLB-5343,1.090.000₫,4.1
27,Máy ép trái cây Panasonic MJ-CB600SRA,2.990.000₫,4.5
28,Máy ép chậm Hafele JE230-BL (535.43.531),6.990.000₫,4.4
29,Máy ép chậm BlueStone SJB-6578,5.990.000₫,4.8
30,Máy xay ép đa năng Panasonic MJ-DJ31SRA,3.290.000₫,4.4
31,Máy ép trái cây Midea MJ-JE35,690.000₫,3.6
32,Máy ép chậm AVA JR-319,700.000₫,3.9
33,Máy ép trái cây AVA GS-320,590.000₫,4.0
34,Máy ép trái cây Hommy GS-321,750.000₫,3.8
35,Máy ép chậm Comet CM9616,1.499.000₫,3.5
36,Máy ép chậm Ferroli FSJ-200M,1.990.000₫,4.1
37,Máy ép chậm Magic Eco AC-130,1.490.000₫,3.4
38,Máy ép chậm Tefal ZC150838,2.090.000₫,4.4
39,Máy ép chậm Kangaroo KG150SJ,1.490.000₫,4.1
