id,name,price,point
1,Máy giặt Aqua Inverter 11 kg AW11-B4959U1K(B),,4
2,Máy giặt Aqua Inverter 11 kg AQW-DR110JT BK,,
3,Máy giặt Panasonic Inverter giặt 10.5 kg - sấy tiện ích 2 kg NA-V105FC1LV,,4.6
4,Máy giặt Samsung Inverter 9.5 kg WW95TA046AX/SV,,4.1
5,Máy giặt Panasonic Inverter 12.5 Kg NA-FD125V1BV,,4.6
6,Máy giặt LG Inverter 9 kg FB1209S6M,8.290.000₫,4
7,Máy giặt sấy Samsung AI Combo Heatpump Inverter giặt 25 kg - sấy 15 kg WD25DB8995BZSV,67.890.000₫,
8,Máy giặt Panasonic 8.2 kg NA-F82Y01DRV,,4.6
9,Máy giặt Aqua Inverter 10.5 kg AQW-DR105JT BK,,4.2
10,Máy giặt Panasonic Inverter 10 kg NA-V10FA1LVT,,1
11,Máy giặt LG AI DD Inverter 12 kg FV1412S3B,,4.2
12,Máy giặt Samsung Inverter 12 kg WA12CG5745BVSV,,4.4
13,Máy giặt Panasonic Inverter 9.5 kg NA-FD95X1LRV,,4.6
14,Máy giặt LG AI DD Inverter 10 kg FV1410S4M1,,4.0
15,Máy giặt Aqua 10 KG AQW-F100GT.BK,,4.4
16,Máy giặt Toshiba 7 Kg AW-L805AV (SG),,4.4
17,Máy giặt Panasonic 8.5 Kg NA-F85A9BRV,,4.5
18,Máy giặt Toshiba Inverter 10 kg TW-T21BU110UWV(MG),,4.0
19,Máy giặt LG AI DD Inverter 14 kg TV2514DV3B,,4.1
20,Máy giặt Aqua 8.8 kg AQW-FR88GT.BK,,4.4
21,Máy giặt Panasonic Inverter 9 kg NA-V90FA1LVT,,
22,Máy giặt Aqua Inverter 11 kg AW11-BP4959U1K(B),,
23,Máy giặt LG AI DD Inverter 10 kg FV1410S4B,,4.4
24,Máy giặt Aqua Inverter 8.5 kg AQD-A852J BK,,4.1
25,Máy giặt Toshiba Inverter 12 kg AW-DUK1300KV (MK),,4.0
26,Máy giặt Panasonic Inverter 10.5 Kg NA-FD10AR1BV,,4.6
27,Máy giặt Samsung Inverter 10 kg WW10TP44DSB/SV,,4.3
28,Máy giặt Aqua Inverter 10 kg AQW-DR100JT BK,,4
29,Máy giặt Aqua Inverter 9.5 kg AQD-A952J BK,,4.3
30,Máy giặt Samsung AI Inverter 10kg WW10T634DLX/SV,,4.3
31,Máy giặt LG AI DD Inverter 9 kg FV1409S4W,,4.3
32,Máy giặt Toshiba Inverter 10 kg AW-DM1100PV(KK),,4.0
33,Máy giặt Samsung Inverter 10 kg WW10TA046AE/SV,,4.2
34,Máy giặt Toshiba Inverter 8.5 Kg TW-BH95S2V WK,,4.1
35,Máy giặt Aqua 12 kg AQW-FR120HT BK,,4.6
36,Máy giặt Toshiba 10 kg AW-M1100PV(MK),,4.2
37,Máy giặt Toshiba Inverter 9.5 kg TW-T21BU105UWV(MG),,4.1
38,Máy giặt Samsung Inverter 11 kg WW11CB944DGBSV,,3.2
39,Máy giặt Aqua Inverter 12 kg AQW-DR120HT BK,,4.6
40,Máy giặt LG TurboDrum Inverter 12 kg T2512VBTB,,5
41,Máy giặt Panasonic Inverter 11.5 Kg NA-FD11AR1BV,,4.6
42,Máy giặt Samsung Inverter 12 kg WA12CG5886BVSV,,4.6
43,Máy giặt Toshiba Inverter 9.5 Kg TW-BK105S3V(SK),,4.1
44,Máy giặt Samsung Inverter 9.5 kg WA95CG4545BDSV,,3.7
45,Máy giặt Aqua 9.8 KG AQW-FR98GT.BK,,4.4
46,Máy giặt Toshiba 8 kg AW-M905BV(MK),4.790.000₫,4.2
47,Máy giặt Panasonic Inverter 14.5 kg NA-FD290CEBV,,5
48,Máy giặt Electrolux UltimateCare 100 Inverter 9 kg EWF9025DQWB,7.890.000₫,4.6
49,Máy giặt LG AI DD Inverter 12 kg FV1412S3BA,13.790.000₫,3.9
50,Máy giặt Toshiba 9 kg AW-M1000FV(MK),,4.1
51,Máy giặt Panasonic 10 Kg NA-F100A9BRV,8.590.000₫,4.6
52,Máy giặt Samsung Inverter 12 kg WW12CGC04DABSV,13.790.000₫,4
53,Máy giặt Sharp 7.5 Kg ES-Y75HV-S,,4.4
54,Máy giặt Panasonic Inverter 9.5 Kg NA-FD95V1BRV,,4.6
55,Máy giặt LG TurboDrum Inverter 10 kg T2310VS2B,7.490.000₫,
56,Máy giặt Casper 8.5 kg WT-85NG1,,4.2
57,Máy giặt Toshiba Inverter 9.0 kg AW-DK1000FV(KK),,4.0
58,Máy giặt Electrolux UltimateCare 500 Inverter 10 kg EWF1024P5WB,9.090.000₫,4.8
59,Máy giặt LG AI DD Inverter 12 kg FV1412S4W,11.790.000₫,4.3
60,Máy giặt Panasonic 9 kg NA-F90A9BRV,,4.6
