id,name,price,point
1,Máy giặt Samsung Inverter 9.5 kg WW95TA046AX/SV,10.090.000₫,4.1
2,Máy giặt Toshiba Inverter 10 kg TW-T21BU110UWV(MG),8.490.000₫,4.0
3,Máy giặt LG Inverter 9 kg FB1209S6M,7.890.000₫,4
4,Máy giặt Aqua 8 kg AWM8-316K(B),4.990.000₫,
5,Máy giặt Casper 9 kg WT-9NB3,4.490.000₫,
6,Máy giặt Aqua 9 kg AWM9-316K(B),5.790.000₫,
7,Máy giặt sấy Samsung AI Combo Heatpump Inverter giặt 25 kg - sấy 15 kg WD25DB8995BZSV,67.890.000₫,
8,Máy giặt Panasonic 8.2 kg NA-F82Y01DRV,4.990.000₫,4.5
9,Máy giặt Toshiba Inverter 12 kg AW-DUK1300KV (MK),8.490.000₫,3.9
10,Máy giặt LG AI DD Inverter 10 kg FV1410S4M1,10.690.000₫,4.0
11,Máy giặt Samsung Inverter 12 kg WA12CG5745BVSV,9.390.000₫,4.4
12,Máy giặt Toshiba 7 Kg AW-L805AV (SG),3.990.000₫,4.4
13,Máy giặt LG AI DD Inverter 12 kg FV1412S3B,10.990.000₫,4.2
14,Máy giặt Toshiba Inverter 10 kg AW-DM1100PV(KK),6.990.000₫,4.0
15,Máy giặt Panasonic Inverter 10 kg NA-V10FA1LVT,10.990.000₫,1
16,Máy giặt Aqua 10 KG AQW-F100GT.BK,5.390.000₫,4.4
17,Máy giặt LG AI DD Inverter 10 kg FV1410S4B,10.640.000₫,4.4
18,Máy giặt Toshiba 8 kg AW-M905BV(MK),4.990.000₫,4.2
