id,name,price,point
1,Máy làm sữa hạt đa năng BlueStone BLB-6031,1.690.000₫,4.3
2,Máy làm sữa hạt đa năng Sunhouse SHD5261,1.390.000₫,4
3,Máy làm sữa hạt đa năng Tefal BL967B66,2.290.000₫,4.4
4,Máy làm sữa hạt đa năng Rapido RHB-800DM,990.000₫,4.0
5,Máy làm sữa hạt đa năng Sunhouse SHD5260,1.090.000₫,
6,Máy làm sữa hạt đa năng Tefal BL83SD66,2.990.000₫,4.6
7,Máy làm sữa hạt đa năng Rapido RHB-500DW xám,890.000₫,
8,Máy làm sữa hạt đa năng Kangaroo KG175HB1,2.390.000₫,4.4
9,Máy làm sữa hạt đa năng BlueStone BLB-6035,1.890.000₫,4.4
10,Máy làm sữa hạt đa năng Kangaroo KG175HB3,2.290.000₫,
11,Máy làm sữa hạt đa năng BlueStone BLB-6038,2.690.000₫,4
12,Máy làm sữa hạt đa năng BlueStone BLB-6033,1.990.000₫,4.4
13,Máy làm sữa hạt đa năng Panasonic MX-HG6401KRA,2.780.000₫,
14,Máy làm sữa hạt đa năng Magic A-96 bạc,1.690.000₫,4.2
15,Máy làm sữa hạt đa năng BlueStone BLB-6036,2.190.000₫,
16,Máy làm sữa đậu nành BlueStone SMB-7329,1.390.000₫,4.3
17,Máy làm sữa hạt đa năng Comet CM9216,1.190.000₫,
18,Máy làm sữa hạt đa năng Rapido RHB-1800D,2.390.000₫,4.4
19,Máy làm sữa hạt đa năng Bear BCB-E153W2,1.890.000₫,
20,Máy làm sữa hạt đa năng Bear BCB-D17231W,2.490.000₫,
21,Máy làm sữa hạt đa năng Lock&Lock EJS226,1.990.000₫,3.9
22,Máy làm sữa hạt Rapido RHB-600D,1.690.000₫,4
23,Máy làm sữa hạt đa năng Mishio MK-307,2.790.000₫,3.8
24,Máy làm sữa hạt đa năng Mishio MK-360,2.090.000₫,3
