id,name,price,point
1,Máy lạnh Panasonic Inverter 1 HP CU/CS-PU9AKH-8,,3.7
2,Máy lạnh Daikin Inverter 1 HP ATKF25XVMV,9.440.000₫,4.3
3,Máy lạnh LG Inverter 1.5 HP V13WIN1,10.990.000₫,4.2
4,Máy lạnh AQUA Inverter 1 HP AQA-RV10QA2,,4.0
5,Máy lạnh Sharp Inverter 1 HP AH-X10ZEW,8.690.000₫,4.0
6,Máy lạnh 2 chiều Daikin Inverter 1 HP ATHF25XVMV,12.590.000₫,4.6
7,Máy lạnh 2 chiều Panasonic Inverter 1 HP CU/CS-YZ9AKH-8,,3.7
8,Máy lạnh Toshiba Inverter 1 HP RAS-H10Z1KCVG-V,10.190.000₫,3.9
9,Máy lạnh Daikin Inverter 1.5 HP ATKB35YVMV,12.290.000₫,4.5
10,Máy lạnh Panasonic Inverter 1 HP CU/CS-XU9ZKH-8,,3.7
11,Máy lạnh Samsung Inverter 1.5 HP AR13DYHZAWKNSV,10.490.000₫,3.2
12,Máy lạnh Daikin Inverter 1 HP FTKY25WMVMV,,4.4
13,Máy lạnh TCL Inverter 1.5 HP TAC-13CSD/XAB1I,6.690.000₫,4.0
14,Máy lạnh Panasonic Inverter 1.5 HP CU/CS-PU12AKH-8,,3.7
15,Máy lạnh TCL Inverter 1 HP TAC-10CSD/XAB1I,5.790.000₫,4.3
16,Máy lạnh LG Inverter 1 HP V10API1,10.790.000₫,4.0
17,Máy lạnh Comfee Inverter 1.5 HP CFS-13VDGF-V,8.390.000₫,4.4
18,Máy lạnh Midea Inverter 1 HP MSAGA-10CRDN8,6.590.000₫,4.3
19,Máy lạnh Midea Inverter 1.5 HP MSAGA-13CRDN8,7.990.000₫,4.4
20,Máy lạnh LG Inverter 2 HP V18WIN1,18.290.000₫,4.2
21,Máy lạnh Daikin Inverter 1.5 HP FTKY35WMVMV,,4.3
22,Máy lạnh Comfee Inverter 2 HP CFS-18VDGF-V,,4.6
23,Máy lạnh 2 chiều Panasonic Inverter 1.5 HP CU/CS-YZ12AKH-8,,4
24,Máy lạnh Sharp Inverter 1.5 HP AH-X13ZEW,10.290.000₫,4.1
25,Máy lạnh Nagakawa Inverter 1 HP NIS-C09R2T28,,3.9
26,Máy lạnh Casper Inverter 1 HP TC-09IS35,,4.1
27,Máy lạnh Daikin Inverter 1 HP ATKB25YVMV,9.690.000₫,4.3
28,Máy lạnh LG Inverter 1 HP V10WIN1,,3.5
29,Máy lạnh AQUA Inverter 1.5 HP AQA-RV13QA2,,4.2
30,Máy lạnh Casper Inverter 1.5 HP GC-12IS35,7.890.000₫,4.0
31,Máy lạnh Daikin Inverter 1 HP ATKF25YVMV,10.590.000₫,4.2
32,Máy lạnh Casper Inverter 2 HP TC-18IS36,11.790.000₫,4.5
33,Máy lạnh Samsung Inverter 1 HP AR10DYHZAWKNSV,8.490.000₫,3.7
34,Máy lạnh Casper Inverter 1.5 HP QC-12IS36,,4
35,Máy lạnh Funiki Inverter 1 HP HIC09TMU.ST3,,4.1
36,Máy lạnh Panasonic Inverter 1.5 HP CU/CS-XU12ZKH-8,,4.0
37,Máy lạnh Casper Inverter 1 HP QC-09IS36,,3.8
38,Máy lạnh Daikin Inverter 1.5 HP ATKF35YVMV,12.990.000₫,4.6
39,Máy lạnh Comfee Inverter 1 HP CFS-10VDGF-V,7.390.000₫,4.2
40,Máy lạnh Panasonic Inverter 2 HP CU/CS-PU18AKH-8,,3.7
41,Máy lạnh Samsung Wind-Free Inverter 1 HP AR10CYFAAWKNSV,9.090.000₫,4.1
42,Máy lạnh AQUA Inverter 1 HP AQA-RUV10RB2,,4.6
43,Máy lạnh Toshiba Inverter 1.5 HP RAS-H13Z1KCVG-V,12.690.000₫,4.2
44,Máy lạnh Midea Inverter 1 HP MAFA-09CDN8,,4.0
45,Máy lạnh AQUA Inverter 1.5 HP AQA-RUV13RB2,,4.3
46,Máy lạnh Nagakawa Inverter 1.5 HP NIS-C12R2T28,,3.7
47,Máy lạnh Casper Inverter 1 HP GC-09IS35,6.990.000₫,4.2
48,Máy lạnh AQUA Inverter 2 HP AQA-RV18QE,,4.5
49,Máy lạnh Sharp Inverter 2 HP AH-X18ZEW,14.790.000₫,4.1
50,Máy lạnh Casper hai chiều Inverter 1 HP GH-09IS33,7.990.000₫,
51,Máy lạnh 2 chiều Daikin Inverter 1.5 HP ATHF35XVMV,15.490.000₫,4.7
52,Máy lạnh LG Inverter 1.5 HP V13API1,12.890.000₫,4.1
53,Máy lạnh TCL Inverter 1 HP TAC-09CSD/XAB1I,,4.0
54,Máy lạnh Funiki Inverter 1.5 HP HIC12TMU.ST3,,4.1
55,Máy lạnh Samsung Wind-Free Inverter 1.5 HP AR13CYFAAWKNSV,,4.2
56,Máy lạnh AQUA Inverter 2.5 HP AQA-RV24QA2,,2.5
57,Máy lạnh Casper hai chiều Inverter 1.5 HP GH-12IS33,,
58,Máy lạnh Samsung Wind-Free Inverter 2 HP AR18CYFCAWKNSV,17.990.000₫,2.5
59,Máy lạnh Nagakawa Inverter 2 HP NIS-C18R2T28,,5
60,Máy lạnh Gree Inverter 1.5 HP GWC12PB-K3D0P4,8.190.000₫,3.8
61,Máy lạnh LG Inverter 1 HP V10APFP,9.980.000₫,3.9
62,Máy lạnh LG Inverter 1.5 HP V13APFP,14.990.000₫,4.3
63,Máy lạnh Casper Inverter 1.5 HP TC-12IS36,,3.5
64,Máy lạnh Casper Inverter 2 HP GC-18IS33,11.890.000₫,4.0
65,Máy lạnh Panasonic Inverter 2 HP CU/CS-XU18ZKH-8,,4.2
66,Máy lạnh Gree Inverter 1 HP CHARM9CI,,4.0
67,Máy lạnh Sharp Inverter 1 HP AH-XP10BSW,10.190.000₫,4.4
68,Máy lạnh Casper Inverter 2.5 HP GC-24IS35,15.590.000₫,5
69,Máy lạnh Nagakawa Inverter 2.5 HP NIS-C24R2T28,,3
70,Máy lạnh AQUA Inverter 1 HP AQA-RUV10XAW2,10.590.000₫,4
71,Máy lạnh Toshiba Inverter 2 HP RAS-H18S4KCV2G-V,18.790.000₫,4.1
72,Máy lạnh Daikin Inverter 2 HP FTKF50YVMV,,
73,Máy lạnh Funiki Inverter 2 HP HIC18TMU.ST3,,4.1
74,Máy lạnh Toshiba Inverter 2.5 HP RAS-H24S4KCV2G-V,21.990.000₫,5
75,Máy lạnh 2 chiều Panasonic Inverter 2 HP CU/CS-YZ18AKH-8,,
76,Máy lạnh 2 chiều Daikin Inverter 2 HP FTHF50VAVMV,,
77,Máy lạnh âm trần LG Inverter 5 HP ZTNQ48GMLA0,,1
