id,name,price,point
1,Máy lạnh Toshiba Inverter 1.5 HP RAS-H13Z1KCVG-V,12.490.000₫,4.2
2,Máy lạnh LG Inverter 1.5 HP V13WIN1,10.790.000₫,4.2
3,Máy lạnh AQUA Inverter 1 HP AQA-RV10QA2,8.790.000₫,4.0
4,Máy lạnh Sharp Inverter 1 HP AH-X10ZEW,8.690.000₫,4.0
5,Máy lạnh 2 chiều Daikin Inverter 1 HP ATHF25XVMV,12.590.000₫,4.6
6,Máy lạnh 2 chiều Panasonic Inverter 1 HP CU/CS-YZ9AKH-8,13.790.000₫,3.7
7,Máy lạnh Daikin Inverter 1 HP ATKB25YVMV,9.690.000₫,4.3
8,Máy lạnh Panasonic Inverter 1 HP CU/CS-XU9ZKH-8,13.990.000₫,3.7
9,Máy lạnh Samsung Inverter 1.5 HP AR13DYHZAWKNSV,10.490.000₫,3.2
10,Máy lạnh Comfee Inverter 1 HP CFS-10VDGF-V,6.890.000₫,4.2
11,Máy lạnh Daikin Inverter 1 HP FTKY25WMVMV,12.490.000₫,4.4
12,Máy lạnh TCL Inverter 1.5 HP TAC-13CSD/XAB1I,7.390.000₫,4.0
13,Máy lạnh LG Inverter 1 HP V10API1,10.790.000₫,4.0
14,Máy lạnh Comfee Inverter 1.5 HP CFS-13VDGF-V,7.890.000₫,4.4
15,Máy lạnh Midea Inverter 1 HP MSAGA-10CRDN8,7.090.000₫,4.3
16,Máy lạnh Midea Inverter 1.5 HP MSAGA-13CRDN8,8.190.000₫,4.4
17,Máy lạnh LG Inverter 2 HP V18WIN1,17.490.000₫,4.2
18,Máy lạnh Daikin Inverter 1.5 HP FTKY35WMVMV,15.690.000₫,4.3
19,Máy lạnh Comfee Inverter 2 HP CFS-18VDGF-V,11.890.000₫,4.6
20,Máy lạnh 2 chiều Panasonic Inverter 1.5 HP CU/CS-YZ12AKH-8,16.890.000₫,4
21,Máy lạnh Sharp Inverter 1.5 HP AH-X13ZEW,9.290.000₫,4.1
22,Máy lạnh Nagakawa Inverter 1 HP NIS-C09R2T28,6.690.000₫,3.9
23,Máy lạnh Toshiba Inverter 1 HP RAS-H10Z1KCVG-V,9.990.000₫,3.9
24,Máy lạnh Casper Inverter 1 HP TC-09IS35,7.190.000₫,4.1
25,Máy lạnh LG Inverter 1 HP V10WIN1,9.690.000₫,4.3
26,Máy lạnh Samsung Inverter 1 HP AR10DYHZAWKNSV,8.990.000₫,3.7
27,Máy lạnh Casper Inverter 1.5 HP GC-12IS35,7.890.000₫,4.0
28,Máy lạnh Daikin Inverter 1.5 HP ATKB35YVMV,12.290.000₫,4.5
29,Máy lạnh Funiki Inverter 1 HP HIC09TMU.ST3,6.990.000₫,4.1
30,Máy lạnh AQUA Inverter 1.5 HP AQA-RV13QA2,9.990.000₫,4.2
31,Máy lạnh Panasonic Inverter 1.5 HP CU/CS-XU12ZKH-8,17.390.000₫,4.0
32,Máy lạnh Daikin Inverter 1.5 HP ATKF35YVMV,12.990.000₫,4.6
33,Máy lạnh AQUA Inverter 1 HP AQA-RUV10RB2,9.490.000₫,4.6
34,Máy lạnh Casper Inverter 2 HP TC-18IS36,11.790.000₫,4.5
35,Máy lạnh Panasonic Inverter 2 HP CU/CS-PU18AKH-8,21.190.000₫,3.7
36,Máy lạnh AQUA Inverter 2 HP AQA-RV18QE,14.940.000₫,4.5
37,Máy lạnh Casper Inverter 1.5 HP QC-12IS36,9.190.000₫,4
38,Máy lạnh Casper Inverter 1 HP QC-09IS36,8.490.000₫,3.8
39,Máy lạnh Toshiba Inverter 1 HP RAS-H10E2KCVG-V,11.590.000₫,4.0
40,Máy lạnh Casper Inverter 1 HP GC-09IS35,6.790.000₫,4.2
41,Máy lạnh Casper hai chiều Inverter 1 HP GH-09IS33,7.990.000₫,
42,Máy lạnh Toshiba Inverter 2 HP RAS-H18S4KCV2G-V,18.790.000₫,4.1
43,Máy lạnh Nagakawa Inverter 1.5 HP NIS-C12R2T28,9.030.000₫,3.7
44,Máy lạnh Samsung Wind-Free Inverter 1 HP AR10CYFAAWKNSV,10.490.000₫,4.1
45,Máy lạnh TCL Inverter 1 HP TAC-09CSD/XAB1I,6.690.000₫,4.0
46,Máy lạnh Sharp Inverter 1 HP AH-XP10BSW,9.790.000₫,4.4
47,Máy lạnh Panasonic Inverter 2 HP CU/CS-XU18ZKH-8,26.490.000₫,4.2
48,Máy lạnh Funiki Inverter 1.5 HP HIC12TMU.ST3,8.490.000₫,4.1
49,Máy lạnh 2 chiều Daikin Inverter 1.5 HP ATHF35XVMV,15.990.000₫,4.7
50,Máy lạnh Nagakawa Inverter 2 HP NIS-C18R2T28,13.440.000₫,5
51,Máy lạnh AQUA Inverter 2.5 HP AQA-RV24QA2,19.790.000₫,2.5
52,Máy lạnh Samsung Wind-Free Inverter 1.5 HP AR13CYFAAWKNSV,12.890.000₫,4.2
53,Máy lạnh AQUA Inverter 1.5 HP AQA-RUV13RB2,11.490.000₫,4.2
54,Máy lạnh LG Inverter 1 HP V10APFP,11.630.000₫,3.9
55,Máy lạnh Casper hai chiều Inverter 1.5 HP GH-12IS33,10.490.000₫,
