id,name,price,point
1,Máy lọc không khí LG PuriCare 360 Hit AS60GHWG0 41W,5.410.000₫,4.4
2,Máy lọc không khí Xiaomi Smart Air Purifier 4 lite 33W,2.510.000₫,4.4
3,Máy lọc không khí Xiaomi Smart Air Purifier 4 compact EU (BHR5860EU) 27W,1.990.000₫,4.3
4,Máy lọc không khí Sharp FP-J30E-A 50W,2.390.000₫,4.3
5,Máy lọc không khí Sharp FP-J40E-W 23W,3.990.000₫,4.2
6,Máy lọc không khí Samsung AX32BG3100GBSV 41W,4.610.000₫,4.3
7,Máy lọc không khí Electrolux EP32-25UGA 25W,3.790.000₫,3.9
8,Máy lọc không khí Levoit Core 200s 26W,2.690.000₫,4.2
9,Máy lọc không khí Daikin MC30YVM7 25W,4.410.000₫,4.2
10,Máy lọc không khí Philips AC0850/20 20W,3.410.000₫,4.2
11,Máy lọc không khí Samsung AX34R3020WW/SV 30W,4.410.000₫,4.4
12,Máy lọc không khí Philips AC0650/10 12W,2.670.000₫,4.2
13,Máy lọc không khí Levoit Core 300s 15W,3.290.000₫,4.4
14,Máy lọc không khí Levoit Core Mini 7W,1.840.000₫,4.1
15,Máy lọc không khí Daikin MCK55TVM6 58W,9.610.000₫,4.1
16,Máy lọc không khí Sharp FP-J60E-W 38W,7.330.000₫,4.3
17,Máy lọc không khí Samsung AX60R5080WD/SV 60W,7.810.000₫,4.5
18,Máy lọc không khí Cuckoo CAC-AG0110FW/WHCKV 5W,1.270.000₫,4.1
19,Máy lọc không khí LG PuriCare AeroTower Hit FS15GPBK0.ABAE 40W,11.710.000₫,
20,Máy lọc không khí Sharp FP-S40V-W 23W,4.190.000₫,3.6
21,Máy lọc không khí Sharp FP-J80EV-H 48W,8.390.000₫,4.3
22,Máy lọc không khí Electrolux FA41-402GY 45W,5.210.000₫,4.1
23,Máy lọc không khí Sharp FP-JM30V-B 53W,3.990.000₫ *,4.3
24,Máy lọc không khí LG PuriCare 360 Alpha Double AS10GDBY0.ABAE 72W,29.900.000₫,3
25,Máy lọc không khí Sharp KI-N40V-H 29W,8.190.000₫ *,
26,Máy lọc không khí Philips AC1715/20 27W,5.190.000₫,4.3
27,Máy lọc không khí Cuckoo CAC-AF1110FW/WHCKV 30W,2.590.000₫,3.9
28,Máy lọc không khí LG PuriCare Aero Furniture AS20GPWU0 màu trắng 41W,11.410.000₫,4.5
29,Máy lọc không khí LG PuriCare 360 Alpha Single AS65GDBY0.ABAE 48W,21.900.000₫,5
30,Máy lọc không khí Daikin MC55UVM6 37W,8.379.000₫,4.3
31,Máy lọc không khí Midea KJ20FE-BD 50W,3.010.000₫,4.3
32,Máy lọc không khí Daikin MCK70ZVM7-W 82W,13.586.000₫,4
33,Máy lọc không khí Electrolux EP53-46UGA 40W,5.890.000₫,5
34,Máy lọc không khí Daikin MC55UVM6-7 37W,7.610.000₫,4.8
35,Máy lọc không khí Philips AMF765/30 40W,9.410.000₫,4
36,Máy lọc không khí Daikin MCK70ZVM7-T 82W,13.586.000₫,
37,Máy lọc không khí Gree GCF350ASNA 25W,4.560.000₫,5
38,Máy lọc không khí LG PuriCare AeroTower FS15GPCJ0.ABAE 40W,14.990.000₫,
39,Máy lọc không khí Sharp FP-JM40V-B 23W,5.510.000₫,4.0
40,Máy lọc không khí Electrolux PA91-406GY 28W,9.310.000₫,4.7
