id,name,price,point
1,Máy lọc nước RO nóng nguội lạnh Karofi KAD-X58 11 lõi,11.140.000₫,4.2
2,Máy lọc nước RO nóng nguội lạnh Toshiba TWP-W2396SVN(M) 10 lõi,11.040.000₫,4.7
3,Máy lọc nước RO nóng nguội lạnh Kangaroo KG10A18 10 lõi,10.080.000₫,3.5
4,Máy lọc nước RO nóng nguội lạnh Sunhouse UltraPURE SHA76210KL 10 lõi,7.690.000₫,4.6
5,Máy lọc nước RO nóng nguội lạnh Hòa Phát HPN666 11 lõi,5.990.000₫,4.8
6,Máy lọc nước RO Livotec 608 10 lõi,4.760.000₫,
7,Máy lọc nước điện giải ion kiềm ROBOT IonPrince 59X 4 lõi 5 tấm điện cực,15.690.000₫,4.1
8,Máy lọc nước RO nóng nguội lạnh Hydrogen ion kiềm Mutosi MP-S1021H 10 lõi,8.990.000₫,4.6
9,Máy lọc nước RO nóng nguội lạnh Karofi KAD-X56 11 lõi,9.310.000₫,3.8
10,Máy lọc nước RO Toshiba TWP-N2396SVN(W) 10 lõi,6.700.000₫,4.4
11,Máy lọc nước RO nóng nguội lạnh Hydrogen Kangaroo KG12A8 12 lõi,10.590.000₫,4.9
12,Máy lọc nước RO nóng nguội lạnh Sunhouse UltraPURE SHA76622KL 10 lõi,9.890.000₫,4.5
13,Máy lọc nước RO Hòa Phát HWS1B 1022 10 lõi,4.940.000₫,4.1
14,Máy lọc nước RO nóng nguội lạnh Livotec 638 10 lõi,7.190.000₫,4.9
15,Máy lọc nước RO Hydrogen ion kiềm Mutosi MP-S1001H 10 lõi,5.990.000₫,4.6
16,Máy lọc nước RO nóng nguội lạnh Sunhouse UltraPURE SHA76222KL 11 lõi,7.340.000₫,3.9
17,Máy lọc nước RO nóng nguội lạnh Sunhouse UltraPURE SHA76623KL 11 lõi,8.590.000₫,2.9
18,Máy lọc nước RO nóng nguội lạnh Karofi KAD-X68 11 lõi,11.590.000₫,3.8
19,Máy lọc nước RO Sunhouse UltraPURE SHA8810K 10 lõi,3.890.000₫ *,3.8
20,Máy lọc nước RO Sunhouse UltraPURE SHA8800KL 11 lõi,4.090.000₫,4
21,Máy lọc nước RO nóng nguội lạnh Karofi KAD-X39 10 lõi,7.090.000₫,4.1
22,Máy lọc nước RO Sunhouse SHA8866K 7 lõi,3.190.000₫,4.2
23,Máy lọc nước RO Sunhouse SHA8201KV 10 lõi,3.390.000₫,4.5
24,Máy lọc nước RO Kangaroo KG116I 10 lõi,4.490.000₫,3.8
25,Máy lọc nước RO nóng nguội lạnh Karofi KAD-D66 11 lõi,9.990.000₫ *,4.2
26,Máy lọc nước RO Karofi KAQ-X18 11 lõi,5.610.000₫,4.0
27,Máy lọc nước RO nóng nguội lạnh Hydrogen Kangaroo KG10A12 10 lõi,8.090.000₫,3.7
28,Máy lọc nước RO nóng nguội lạnh Kangaroo KG10A17 10 lõi,8.320.000₫,3.9
29,Máy lọc nước RO nóng nguội lạnh Hydrogen Kangaroo KG10A13 10 lõi,9.590.000₫,3.4
30,Máy lọc nước RO Karofi KAQ-US08 10 lõi,5.390.000₫,3
31,Máy lọc nước RO nóng nguội lạnh Hydrogen Kangaroo KG12A6 12 lõi,8.790.000₫,4.9
32,Máy lọc nước RO Karofi KAQ-U98 Pro 10 lõi,6.090.000₫,
33,Máy lọc nước RO Karofi KAQ-X16 10 lõi,4.890.000₫,4.1
34,Máy lọc nước RO Hydrogen Kangaroo KG12HA 12 lõi,7.290.000₫,4.8
35,Máy lọc nước RO nóng nguội lạnh Mutosi MP-S1011 10 lõi,5.390.000₫,4.4
36,Máy lọc nước RO Mutosi MP-290SK 9 lõi,4.840.000₫,4.4
37,Máy lọc nước RO Sunhouse UltraPURE SHA8891KL 10 lõi,4.540.000₫,4.1
38,Máy lọc nước RO Karofi KAQ-X26 10 lõi,6.370.000₫ *,4.1
39,Máy lọc nước RO nóng nguội Karofi KAH-X29 11 lõi,6.790.000₫,3.9
40,Máy lọc nước RO nóng nguội lạnh Karofi KAD-X60 10 lõi,9.990.000₫,4.1
41,Máy lọc nước RO Karofi KAQ-U06 10 lõi,6.030.000₫,4.1
42,Máy lọc nước RO nóng nguội lạnh Hydrogen Sunhouse UltraX SHA76658SH 11 lõi,12.090.000₫,5
43,Máy lọc nước RO nóng nguội lạnh Hòa Phát HPN635 10 lõi,7.240.000₫,4
44,Máy lọc nước RO nóng nguội lạnh Mutosi MP-6100HCE 10 lõi,7.690.000₫ *,4.4
45,Máy lọc nước RO Hydrogen Kangaroo KGRP10 10 lõi,5.790.000₫,1
46,Máy lọc nước RO nóng nguội lạnh Toshiba TWP-W2398SVN(M) 10 lõi,13.140.000₫,3.8
47,Máy lọc nước RO Karofi KAQ-U95 10 lõi,6.290.000₫,3.9
48,Máy lọc nước RO Sunhouse UltraPURE SHA8811K 10 lõi,5.290.000₫,3.1
49,Máy lọc nước RO nóng nguội lạnh Toshiba TWP-W2399SVN(M) 10 lõi,15.210.000₫,4.9
50,Máy lọc nước RO nóng nguội lạnh Hydrogen Kangaroo KG11A2 11 lõi,8.790.000₫,
51,Máy lọc nước RO nóng nguội lạnh Sunhouse UltraX SHA76601S 11 lõi,9.690.000₫,5
52,Máy lọc nước RO nóng nguội lạnh Hydrogen Sunhouse UltraX SHA76668SH 11 lõi,13.090.000₫,5
