id,name,price,point
1,Máy rửa chén mini Electrolux ESF6010BW,6.990.000₫,4.6
2,Máy rửa chén độc lập Junger Leopard DWJ-143,,5
3,Máy rửa chén độc lập Bosch SMS4EMI06E,,4.5
4,Máy rửa chén độc lập Bosch SMS6ZCI37Q,,3.3
5,Máy rửa chén độc lập Junger Leopard DWJ-103,,
6,Máy rửa chén độc lập Bosch SMS6ECI04E,,4
7,Máy rửa chén độc lập Bosch SMS4EKI06E,,3.6
8,Máy rửa chén mini Hafele HDW-T5531B (538.21.350),7.490.000₫,3.1
9,Máy rửa chén độc lập Bosch SMS4ECI26E,,3.7
10,Máy rửa chén độc lập Bosch SMS2HTI79E,,4
11,Máy rửa chén độc lập Comfee CDWEF1401HB-W-VN,,4.8
12,Máy rửa chén độc lập Comfee CDWEF1533GB-WU-VN,,4.8
13,Máy rửa chén độc lập Hafele HDW-F601B (535.29.670),,
14,Máy rửa chén độc lập Hafele HDW-F602EB (538.21.360),13.890.000₫,
15,Máy rửa chén mini Bosch SKS62E38EU,,5
16,Máy rửa chén mini Junger Leopard DWJ-063,,
17,Máy rửa chén độc lập Electrolux ESF5206LOW,10.900.000₫,4.2
18,Máy rửa chén độc lập Hòa Phát HD F1508EBS TM,,
19,Máy rửa chén độc lập LG LDT14BLA4,,
20,Máy rửa chén độc lập Hafele HDW-F60EB (538.21.310),12.990.000₫,3.6
21,Máy rửa chén độc lập Bosch SMS2ITI41G,,2.5
22,Máy rửa chén độc lập Beko DFN28424X,,3.5
23,Máy rửa chén độc lập Hafele HDW F60C (533.23.200),,3.8
24,Máy rửa chén độc lập Whirlpool WFE 2B19,8.190.000₫,3.5
25,Máy rửa chén độc lập Bosch SMS2ITI12E,,3.8
26,Máy rửa chén độc lập Bosch SMS4HMI07E,,
27,Máy rửa chén độc lập Hafele HDW-F605B (535.29.660),15.490.000₫,5
28,Máy rửa chén độc lập Electrolux ESF5512LOX,14.990.000₫,4.5
29,Máy rửa chén độc lập Galanz W45A3A401S-0E1(B),,3.1
30,Máy rửa chén độc lập Whirlpool WFC 3C26P,,5
31,Máy rửa chén độc lập Hòa Phát HD F1206EBB TM,,
32,Máy rửa chén độc lập Bosch SMS8YCI01E,,4.8
33,Máy rửa chén độc lập Beko DEN48520X,,2
34,Máy rửa chén độc lập Beko DVN06431S,,4.2
35,Máy rửa chén bán âm Hafele HDW-HI60C (533.23.120),,2
36,Máy rửa chén bán âm Hafele HDW-HI60B (533.23.210),,
37,Máy rửa chén độc lập Bosch SMS2ITW04E TGB,,3.4
38,Máy rửa chén độc lập Bosch SMS4IKC62T,,2
39,Máy rửa chén độc lập Hòa Phát HD F1407DBB TM,,
40,Máy rửa chén độc lập LG LDT14BGA3,24.490.000₫,
41,Máy rửa chén độc lập Hitachi HDF-F146VX,12.390.000₫,
42,Máy rửa chén độc lập Hòa Phát HD F1306DBS TM,,
43,Máy rửa chén độc lập Hitachi HDF-F158CVGB,,
