id,name,price,point
1,Máy rửa chén mini Electrolux ESF6010BW,6.990.000₫,4.6
2,Máy rửa chén độc lập Junger Leopard DWJ-143,17.490.000₫,4.8
3,Máy rửa chén độc lập Junger Leopard DWJ-103,13.490.000₫,5
4,Máy rửa chén độc lập Comfee CDWEF1401HB-W-VN,10.390.000₫,4.9
5,Máy rửa chén độc lập Bosch SMS4ECI26E,18.400.000₫,3.7
6,Máy rửa chén mini Hafele HDW-T5531B (538.21.350),7.790.000₫,3.1
7,Máy rửa chén độc lập Bosch SMS6ECI04E,20.990.000₫,4
8,Máy rửa chén độc lập Comfee CDWEF1533GB-WU-VN,12.790.000₫,4.9
9,Máy rửa chén độc lập Hafele HDW-F601B (535.29.670),13.590.000₫,
10,Máy rửa chén độc lập Hafele HDW-F602EB (538.21.360),14.590.000₫,
11,Máy rửa chén độc lập Bosch SMS2HTI79E,13.390.000₫,4
12,Máy rửa chén mini Bosch SKS62E38EU,8.290.000₫,5
13,Máy rửa chén độc lập Samsung DW60CG550FSGSV,17.290.000₫,
14,Máy rửa chén độc lập Hafele HDW-F605B (535.29.660),16.990.000₫,5
15,Máy rửa chén độc lập Hafele HDW F60C (533.23.200),12.990.000₫,3.8
16,Máy rửa chén độc lập Bosch SMS2ITI41G,12.390.000₫,2.5
17,Máy rửa chén độc lập LG LDT14BLA4,24.240.000₫,
18,Máy rửa chén độc lập Bosch SMS8YCI01E,33.890.000₫,4.8
19,Máy rửa chén mini Junger Leopard DWJ-063,7.990.000₫,4.1
20,Máy rửa chén độc lập Electrolux ESF5206LOW,10.900.000₫,4.2
21,Máy rửa chén độc lập Galanz W45A3A401S-0E1(B),6.190.000₫,3.1
22,Máy rửa chén độc lập Hafele HDW-F60EB (538.21.310),10.990.000₫,3.6
23,Máy rửa chén độc lập Samsung Bespoke DW60CB750FAPSV,24.990.000₫,
24,Máy rửa chén độc lập Electrolux ESF5512LOX,14.890.000₫,4.5
25,Máy rửa chén độc lập Bosch SMS4IKC62T,15.900.000₫,2
26,Máy rửa chén độc lập Bosch SMS4HMI07E,19.000.000₫,
27,Máy rửa chén độc lập Whirlpool WFC 3C26P,11.690.000₫,5
28,Máy rửa chén độc lập Bosch SMS2ITW04E TGB,10.990.000₫,3.4
29,Máy rửa chén âm tủ Bosch SMV25BX03R,12.790.000₫,1
30,Máy rửa chén độc lập Hòa Phát HD F1206EBB TM,9.090.000₫,
31,Máy rửa chén độc lập Hitachi HDF-F146VX,15.340.000₫,
32,Máy rửa chén độc lập Whirlpool WFE 2B19,8.790.000₫,3.5
33,Máy rửa chén độc lập Beko DEN48520X,12.390.000₫,2
34,Máy rửa chén độc lập Beko DVN06431S,9.490.000₫,4.2
35,Máy rửa chén bán âm Hafele HDW-HI60C (533.23.120),17.190.000₫,2
36,Máy rửa chén bán âm Hafele HDW-HI60B (533.23.210),18.190.000₫,
