id,name,price,point
1,Máy sấy thông hơi Galanz 7 Kg DV-70T5C(S),4.250.000₫,4.1
2,Máy sấy thông hơi Galanz 7 kg DV-70Q1C,3.990.000₫,4.2
3,Máy sấy thông hơi Aqua 7 kg AQH-V700FW,5.490.000₫,4.5
4,Máy sấy thông hơi Electrolux UltimateCare 9 kg EDV904H3WC,10.990.000₫,
5,Máy sấy thông hơi Electrolux UltimateCare 7.5 kg EDV754H3WB,8.690.000₫,4.9
6,Máy sấy thông hơi Electrolux UltimateCare 8 kg EDV804H3WC,8.590.000₫,
7,Máy sấy thông hơi Electrolux UltimateCare 9 kg EDV904N3SC,11.990.000₫,5
8,Máy sấy thông hơi Electrolux UltimateCare 8.5 kg EDV854J3WB,9.690.000₫,4.8
9,Máy sấy thông hơi Aqua 9 kg AQH-V901K PS,7.990.000₫,
10,Máy sấy bơm nhiệt LG 10.5 kg DVHP50B,19.390.000₫,4.4
11,Máy sấy ngưng tụ Toshiba 8 kg TD-K90MEV(SK),9.990.000₫,4.1
12,Máy sấy bơm nhiệt LG 10.5 kg DVHP50P,20.990.000₫,4.4
13,Máy sấy thông hơi Aqua 8 kg AQH-V800H SS,6.490.000₫,4.4
14,Máy sấy thông hơi Electrolux UltimateCare 8.5 kg EDV854N3SB,11.990.000₫,4.9
15,Máy sấy bơm nhiệt Electrolux UltimateCare 8 kg EDH803J5WC,15.990.000₫,
16,Máy sấy bơm nhiệt Aqua 10 kg AQH-H1000H PS,13.990.000₫,5
17,Máy sấy bơm nhiệt Electrolux UltimateCare 8 kg EDH803J5SC,17.990.000₫,4
18,Máy sấy thông hơi Electrolux UltimateCare 8.5 kg EDS854J3WB,10.490.000₫,4.8
19,Tủ sấy quần áo Sunhouse SHD2702,1.290.000₫,
