id,name,price,point
1,Máy sấy tóc 1200W Delites MST02,240.000₫,4.6
2,Máy sấy tóc 1100W BlueStone HDB-1827,250.000₫,4.5
3,Máy sấy tóc 1200W Sunhouse SHD2306,240.000₫,4.5
4,Máy sấy tóc 1500W Sunhouse SHD2308W,300.000₫,4.3
5,Máy sấy tóc 1800W Flyco FH1622VN,290.000₫,4.6
6,Máy sấy tóc 1900 - 2300W BlueStone HDB-1958,530.000₫,4.5
7,Máy sấy tóc 1800W Sunhouse SHD2317,360.000₫,4.3
8,Máy sấy tóc 650W Sunhouse SHD2305,150.000₫,4.6
9,Máy sấy tóc 1800W Flyco FH6277VN,360.000₫,4.6
10,Máy sấy tóc 1750-2100W BlueStone HDB-1846,430.000₫,4.5
11,Máy sấy tóc 1300W Panasonic EH-ND21-P645,490.000₫,4.6
12,Máy sấy tóc 1000W Philips HP8108,270.000₫,4.6
13,Máy sấy tóc 1100W AVA RCY-7022,280.000₫,4.6
14,Máy sấy tóc 1800W Showsee A1-W,320.000₫,4.5
15,Máy sấy tóc 1100W Panasonic EH-ND11-A645,300.000₫,4.6
16,Máy sấy tóc 1200W Philips BHC010,340.000₫,4.5
17,Máy sấy tóc 1000W Panasonic EH-ND11,300.000₫,4.5
18,Máy sấy tóc 1850-2200W BlueStone HDB-1863,631.000₫,4.4
19,Máy sấy tóc 1800W Showsee A5-G,470.000₫,4.4
20,Máy sấy tóc 1800W AVA RCY-7044,389.000₫,4.6
21,Máy sấy tóc 1500W Panasonic EH-ND57-H645,600.000₫,4.5
22,Máy sấy tóc 1000W Panasonic EH-ND12-P645,370.000₫,4.5
23,Máy sấy tóc 1200W Philips BHC015,390.000₫,4.5
24,Máy sấy tóc 1800W Panasonic EH-ND37-K645,620.000₫,4.7
25,Máy sấy tóc tốc độ cao 1600W Showsee A18-GY,1.350.000₫,5
26,Máy sấy tóc 2100W Philips BHD350/10,840.000₫,4.6
27,Máy sấy tóc 1800 - 2200W Delites MST04,440.000₫,4.4
28,Máy sấy tóc 1800W Panasonic EH-ND37-P645,620.000₫,4.6
29,Máy sấy tóc 2100W Philips BHD500/00,1.070.000₫,4.5
