id,name,price,point
1,Máy tính bảng iPad 9 WiFi 64GB,,4.5
2,Máy tính bảng iPad Pro M4 11 inch WiFi 256GB,,
3,Máy tính bảng Samsung Galaxy Tab S10+ 5G 12GB/256GB,,
4,Máy tính bảng Samsung Galaxy Tab S10 Ultra 5G 12GB/256GB,,
5,Máy tính bảng Samsung Galaxy Tab A9+ 5G 4GB/64GB,,4.1
6,Máy tính bảng Samsung Galaxy Tab A9 WiFi 4GB/64GB,,4.5
7,Máy tính bảng Lenovo Tab Plus WiFi 8GB/256GB,,4.5
8,Máy tính bảng Xiaomi Redmi Pad SE 8.7 WiFi 4GB/64GB,,5
9,Máy tính bảng TCL Tab 10 Gen 2 4G 4GB/64GB,,3.6
10,Máy tính bảng TCL Tab 11 WiFi 4GB/128GB,,4.6
11,Máy tính bảng OPPO Pad Neo WiFi 6GB/128GB,,4
12,Máy tính bảng Samsung Galaxy Tab S9 WiFi 8GB/128GB,,4.7
13,Máy tính bảng Xiaomi Redmi Pad Pro WiFi 6GB/128GB,,4.8
14,Máy tính bảng iPad Air 6 M2 11 inch WiFi 128GB,,5
15,Máy tính bảng iPad Air 6 M2 13 inch 5G 128GB,,
16,"Máy tính bảng Masstel Tab 10.1"" 4G 3GB/32GB",,4.1
17,Máy tính bảng Xiaomi POCO Pad WiFi 8GB/256GB,,3.8
18,Máy tính bảng Samsung Galaxy Tab S9 5G 8GB/128GB,,5
19,Máy tính bảng Xiaomi Redmi Pad Pro WiFi 8GB/256GB,,3
20,Máy tính bảng iPad Pro M4 13 inch 5G 256GB,43.190.000₫,
21,Máy tính bảng iPad 10 WiFi 64GB,,4.5
22,Máy tính bảng Xiaomi Redmi Pad SE WiFi 4GB/128GB,,4.2
23,Máy tính bảng Xiaomi Redmi Pad Pro WiFi 8GB/128GB,,
24,Máy tính bảng Lenovo Tab M9 4G 4GB/64GB,,4.8
25,Máy tính bảng OPPO Pad Neo 4G 8GB/128GB,,4.4
26,Máy tính bảng Xiaomi Redmi Pad SE WiFi 8GB/256GB,,4.4
27,Máy tính bảng OPPO Pad Air WiFi 4GB/64GB,,4.3
28,Máy tính bảng Samsung Galaxy Tab S9 FE WiFi 6GB/128GB,,4.2
29,Máy tính bảng TCL Tab 10L Gen 2 WiFi 3GB/32GB,,4.3
30,Máy tính bảng Xiaomi Redmi Pad SE 8.7 4G 4GB/128GB,,
31,Máy tính bảng Xiaomi Pad 6 WiFi 8GB/256GB,,4.7
32,Máy tính bảng Xiaomi Redmi Pad SE 8.7 WiFi 4GB/128GB,,
33,Máy tính bảng Xiaomi Redmi Pad SE WiFi 6GB/128GB,,4.3
34,Máy tính bảng Samsung Galaxy Tab S6 Lite 2024 4G 4GB/64GB,7.290.000₫,3
35,Máy tính bảng Lenovo Tab M11 4G 4GB/128GB,,4
36,Máy tính bảng HONOR Pad X9 WiFi 4GB/128GB,,4.8
37,Máy tính bảng Lenovo Tab M11 WiFi 4GB/128GB,,
38,Máy tính bảng Xiaomi Redmi Pad SE 8.7 4G 6GB/128GB,,
39,Máy tính bảng OPPO Pad Air WiFi 4GB/128GB,,4.7
40,Máy tính bảng iPad 10 5G 64GB,,4.5
41,Máy tính bảng iPad Air 6 M2 11 inch 5G 128GB,,
42,Máy tính bảng Xiaomi Redmi Pad SE 8.7 WiFi 6GB/128GB,,4
43,Máy tính bảng OPPO Pad 2 WiFi 8GB/256GB,,
44,Máy tính bảng Xiaomi Pad 6S Pro 8GB/256GB,,
45,Máy tính bảng iPad Air 6 M2 13 inch WiFi 128GB,,
46,Máy tính bảng iPad Pro M4 13 inch WiFi 256GB,36.990.000₫,5
47,Máy tính bảng iPad Pro M4 11 inch 5G 256GB,,
48,Máy tính bảng iPad 9 4G 64GB,,4.4
49,Máy tính bảng Lenovo Tab M11 4G 8GB/128GB,,
50,Máy tính bảng iPad Pro M2 12.9 inch WiFi 512GB,,
51,Máy tính bảng Lenovo Tab M11 4G 4GB/64GB,,
52,Máy tính bảng iPad Air 5 M1 WiFi Cellular 256GB,,
53,Máy tính bảng iPad Pro M4 13 inch Nano 5G 1TB,62.990.000₫,
54,Máy tính bảng iPad mini 7 WiFi 128GB,,
55,Máy tính bảng iPad mini 7 5G 128GB,,
