id,name,price,point
1,Máy vắt cam Rapido ROJ-40,249.000₫,4.5
2,Máy vắt cam Delites 30W JC3000-GS,220.000₫,4.4
3,Máy vắt cam Sunhouse 25W SHD5510,250.000₫,
4,Máy vắt cam AVA 40W D-8026A,290.000₫,4.6
5,Máy vắt cam Philips 25W HR2738,659.000₫,4.6
6,Máy vắt cam BlueStone 30W CJB-1127,320.000₫,4.3
7,Máy vắt cam Hawonkoo 40W OJH-120-GR,490.000₫,4.5
8,Máy vắt cam Hawonkoo 30W OJH-001-PK,499.000₫,4.8
9,Máy vắt cam Lock&Lock 40W EJJ231,330.000₫,4.7
10,Máy vắt cam AVA 40W D-8025A,350.000₫,4.5
11,Máy vắt cam Lock&Lock 85W EJJ256BLK,1.000.000₫,4.6
12,Máy vắt cam Sharp 85W EJ-J850-BK,490.000₫,4.0
13,Máy vắt cam BlueStone CJB-1173,890.000₫,
