id,name,price,point
1,Máy xay thịt đa năng AVA AM6103 300W 1.8 lít,390.000₫,4.4
2,Máy xay thịt đa năng Delites LH101B 250W 1.2 lít,360.000₫,4.4
3,Máy xay thịt đa năng Sunhouse SHD5412 300W 2 lít/0.3 lít,590.000₫,4
4,Máy xay thịt đa năng Delites MC390E-N 400W 1.2 lít,420.000₫,3.8
5,Máy xay thịt đa năng Mishio MK-135 300W 1.8 lít,449.000₫,4.2
6,Máy xay thịt đa năng Sunhouse SHD5403 300W 1.8 lít,450.000₫,4.6
7,Máy xay thịt đa năng Bear QSJ-B02Q1 300W 2 lít,449.000₫,4.5
8,Máy xay thịt đa năng BlueStone CHB-5149 300W 2 lít,690.000₫,4.2
9,Máy xay thịt đa năng Mishio MK-157 300W 1.8 lít,590.000₫,4.2
10,Máy xay thịt đa năng Magic Eco AC-15 300W 2 lít,490.000₫,4.0
11,Máy xay thịt mini Bear QSJ-B02U2 200W 0.6 lít,589.000₫,4.2
12,Máy xay thịt đa năng Bear QSJ-B03Y7 300W 2 lít,779.000₫,4.3
13,Máy xay thịt đa năng Rapido RMC-300 2 lít,499.000₫,
