id,name,price,point
1,Nồi áp suất điện Sunhouse SHD-1552 5 lít,1.220.000₫,4.4
2,Nồi áp suất điện BlueStone PCB-5648 5 lít,1.360.000₫,3.3
3,Nồi áp suất điện Philips HD2103/66 5 lít,1.690.000₫,4.4
4,Nồi áp suất điện Tefal CY601868 6 lít,1.690.000₫,4.5
5,Nồi áp suất điện Sunhouse SHD1657 6 lít,1.520.000₫,4.3
6,Nồi áp suất điện Philips HD2237/66 6 lít,3.000.000₫,4
7,Nồi áp suất điện Sunhouse SHD 1767 6 lít,2.120.000₫,4.3
8,Nồi áp suất điện BlueStone PCB-5629 5 lít,1.600.000₫,4.3
9,Nồi áp suất điện Sunhouse Mama SHD1580 5 lít,1.700.000₫,3
10,Nồi áp suất điện Philips HD2136/66 5 lít,2.570.000₫,4.5
11,Nồi áp suất điện Tefal Speedy Cook CY222D68 5 lít,1.690.000₫,5
12,Nồi cơm áp suất cao tần Cuckoo 1.8 lít CRP-HUS1000F,6.290.000₫,4.5
13,Nồi áp suất điện Tefal CY754830 4.8 lít,2.290.000₫,4.5
14,Nồi áp suất điện Sunhouse SHD1755 5 lít,1.600.000₫,
15,Nồi hầm dưỡng sinh Kangaroo KG3SC1 3 lít,1.570.000₫,4.4
16,Nồi cơm điện tử áp suất Cuckoo 1.08 lít CRP-PK0600F/BKRDVN,3.350.000₫,4.4
17,Nồi áp suất điện Kangaroo KG5P3 5 lít,2.960.000₫,4.1
18,Nồi áp suất điện Kangaroo KG6P2 6 lít,2.290.000₫,4
19,Nồi cơm áp suất cao tần Cuckoo 1.08 lít CRP-LHTR0609F/WHSIVNCV,10.790.000₫,5
20,Nồi áp suất điện BlueStone PCB-5619 5 lít,1.500.000₫,4.0
21,Nồi cơm điện tử áp suất Cuckoo 1.08 lít CRP-N0601F,4.300.000₫,4.7
22,Nồi cơm áp suất cao tần Cuckoo 1.08 lít CRP-LHTR0609F/BKSIVNCV,10.790.000₫,4
23,Nồi cơm áp suất cao tần Cuckoo 1.8 lít CRP-LHTR1009F/BKSIVNCV,14.690.000₫,4.4
24,Nồi cơm áp suất cao tần Cuckoo 1.8 lít CRP-LHTR1009F/WHSIVNCV,11.790.000₫,4.9
