id,name,price,point
1,Nồi chiên không dầu AVA 55K07A 5.5 lít,1.390.000₫,4.4
2,Nồi chiên không dầu Kangaroo KG52AF1A 5 lít,2.600.000₫,4.4
3,Nồi chiên không dầu Bear BAF-P63W1 6 lít,1.550.000₫,5
4,Nồi chiên không dầu Sunhouse SHD4062 6 lít,1.790.000₫,4.4
5,Nồi chiên không dầu Philips HD9257/80 5.6 lít,2.510.000₫,4.3
6,Nồi chiên không dầu Sunhouse SHD4035 9 lít,2.070.000₫,4.5
7,Nồi chiên không dầu Philips NA130/00 6.2 lít,1.790.000₫,4.7
8,Nồi chiên không dầu Kangaroo KG42AF1 4 lít,990.000₫,4.4
9,Nồi chiên không dầu Toshiba AF-74CS2SRVN(B) 7.4 lít,2.190.000₫,4.4
10,Nồi chiên không dầu Rapido SMART-7.0M 7 lít,1.390.000₫,4.4
11,Nồi chiên không dầu Sunhouse SHD4026 6 lít,1.690.000₫,4.5
12,Nồi chiên không dầu Sunhouse SHD4030 6.5 lít,1.090.000₫,
13,Nồi chiên không dầu Rapido RAF-8.0M 8 lít,1.990.000₫,4.4
14,Nồi chiên không dầu Rapido RAF-7.5M3 7.5 lít,1.390.000₫,
15,Nồi chiên không dầu Sunhouse SHD4037 9 lít,1.590.000₫,1
16,Lò chiên không dầu Ferroli FAF-12M 12 lít,1.790.000₫,4.3
17,Nồi chiên không dầu Magic A84 4.4 lít,1.540.000₫,4.1
18,Lò chiên không dầu Sunhouse Mama SHD4088 15 lít,2.390.000₫,4.3
19,Nồi chiên không dầu AVA KDF-593D 7.5 lít,1.690.000₫,4.5
20,Nồi chiên không dầu Hafele AF-T5A (535.43.712) 5 lít,2.290.000₫,4.4
