id,name,price,point
1,Nồi cơm điện tử BlueStone 1.8 lít RCB-5938,,4.3
2,Nồi cơm điện tử Philips 1.8 lít HD4515/55,,4.4
3,Nồi cơm điện tử Sharp 1.8 lít KS-COM194EV-BK,,3.7
4,Nồi cơm điện tử Sunhouse mama 1.8 lít SHD8903,,4.3
5,Nồi cơm điện tử Tefal 1.8 lít RK737868,,4.6
6,Nồi cơm điện tử Toshiba 1.8 lít RC-18DR2PV(K),,4.2
7,Nồi cơm cao tần BlueStone 1.5 lít RCB-5988,2.090.000₫,3.8
8,Nồi cơm nắp gài Philips 1.8 lít HD3008/30,,3.6
9,Nồi cơm cao tần Sharp 1.8 lít KS-IH191V-BK,,4.3
10,Nồi cơm cao tần Sunhouse Mama 1.5 lít SHD8955,2.190.000₫,3.9
11,Nồi cơm cao tần Tefal 1.5 lít RK808168,,4.3
12,Nồi cơm cao tần Toshiba 1.8 lít RC-18IX1PV,,4.2
13,Nồi cơm nắp gài BlueStone 1.8 lít RCB-5520,,4.1
14,Nồi cơm nắp gài Sunhouse 1 lít SHD8208C,,4.4
15,Nồi cơm nắp gài Toshiba 1.8 lít RC-18JH2PV(B),,3.8
16,Nồi cơm nắp gài Toshiba 1 lít RC-10JH2PV(B),,4.3
17,Nồi cơm nắp gài Sunhouse 1.8 lít SHD8607W,,4.2
18,Nồi cơm nắp gài Sunhouse 1.2 lít SHD8217W,,4.4
19,Nồi cơm điện tử Toshiba 1.8 lít RC-18NMFVN(WT),,4.2
20,Nồi cơm nắp gài Delites 1.8 lít NCG1805,,4.3
21,Nồi cơm nắp rời Sharp 2.2 lít KSH-D22V,,4.4
22,Nồi cơm nắp gài Panasonic 1.8 lít SR-MVN18LRAX,,4.3
23,Nồi cơm nắp gài AVA 1 lít JRC-100P,,4.1
24,Nồi cơm nắp gài Tefal 0.7 lít RK224168,,4
25,Nồi cơm điện tử Toshiba 1.8 lít RC-18DH2PV(W),,4.0
26,Nồi cơm điện tử Sunhouse 1.8 lít SHD8911,1.190.000₫,4.8
27,Nồi cơm nắp rời Toshiba 1.8 lít RC-18MH1PV(F),,4.5
28,Nồi cơm nắp gài Sunhouse 1.8 lít SHD8603,,3.9
29,Nồi cơm điện tử Toshiba 1 lít RC-10NMFVN(WT),,4.5
30,Nồi cơm nắp gài Sunhouse Mama 1.2 lít SHD8265B,,4
31,Nồi cơm nắp gài Sunhouse 3 lít SHD8309,,4.3
32,Nồi cơm nắp gài Sharp 1.8 lít KS-18TJV,,4.0
33,Nồi cơm nắp rời Delites 1.5 lít NCR1502,,4.4
34,Nồi cơm nắp gài Sunhouse 1.8 lít SHD8606,,4.1
35,Nồi cơm nắp gài BlueStone 1.2 lít RCB-5512,,4.2
36,Nồi cơm nắp gài Sharp 1.8 lít KS-NR191STV,,4.0
37,Nồi cơm điện tử Sunhouse Mama 1.5 lít SHD8915,,4.0
38,Nồi cơm nắp gài Panasonic 1 lít SR-MVN10LRAX,,4.4
39,Nồi cơm nắp rời Toshiba 1.8 lít RC-18MH2PV(F),,4.1
40,Nồi cơm điện tử Sharp 1.8 lít KS-COM191EV-WH,,3.9
41,Nồi cơm nắp gài Sunhouse Mama 1.8 lít SHD8665B,,4.3
42,Nồi cơm điện tử Tefal 0.7 lít RK515168,,4.3
43,Nồi cơm nắp gài Kangaroo 1.2 lít KG822,,3.9
44,Nồi cơm nắp gài Panasonic 1.8 lít SR-MVN18FRAX,,4.3
45,Nồi cơm nắp gài Sunhouse 3 lít SHD8305,,4.4
46,Nồi cơm điện tử Sharp 1.8 lít KS-COM183MV-WH,,4.2
47,Nồi cơm nắp gài Sharp 1.8 lít KS-N182ETV,,4.2
48,Nồi cơm nắp gài Sunhouse 1.8 lít SHD8630,,4
49,Nồi cơm nắp gài Sunhouse 1.8 lít SHD8611N,640.000₫,
50,Nồi cơm nắp rời Sharp 1.8 lít KSH-D19V,,4.3
51,Nồi cơm nắp gài Kangaroo 2.2 lít KG572,,3.9
52,Nồi cơm cao tần Sunhouse Mama 1.8 lít SHD8959,,3.3
53,Nồi cơm nắp gài Midea 0.6 lít MR-CM06SD,,4.5
54,Nồi cơm nắp rời Sharp 2.8 lít KSH-D28V,,4.3
55,Nồi cơm nắp gài Cuckoo 2 lít CR-1122,,4.1
56,Nồi cơm nắp rời Sharp 1.5 lít KSH-D15V,,4.2
57,Nồi cơm nắp gài Sharp 1.8 lít KS-N191ETV,,4.1
58,Nồi cơm điện tử Panasonic 1.8 lít SR-CP188NRAM,,4.4
59,Nồi cơm nắp gài Sharp 2.2 lít KS-R231STV,,4.1
60,Nồi cơm nắp rời Delites 1.8 lít RC-10W003,449.000₫,3.9
61,Nồi cơm nắp gài BlueStone 1.8 lít RCB-5525,,4.4
62,Nồi cơm điện tử Tefal 1.8 lít Delirice Plus RK776B68,,4
63,Nồi cơm nắp gài Cuckoo 1.08 lít CR-0671,849.000₫,4.1
64,Nồi cơm điện tử Toshiba 1 lít RC-10DH2PV(W),,4.3
65,Nồi cơm nắp gài Sunhouse 1.8 lít SHD8663G,,4.2
66,Nồi cơm điện tử Panasonic 1.8 lít SR-CL188WRAM,,4.4
67,Nồi cơm nắp gài Cuckoo 1.8 lít CR-1081,,4.1
68,Nồi cơm điện tử Sunhouse 1 lít SHD8802,,3.5
69,Nồi cơm nắp gài Cuckoo 1.8 lít CR-1001V/RDWHCRVNCV,,
70,Nồi cơm nắp gài Crystal 3 lít NCG3001,,3.9
71,Nồi cơm nắp gài Panasonic 1 lít SR-MVN10FRAX,,4.4
72,Nồi cơm điện tử Sharp 1.8 lít KS-COM194EV-RD,1.590.000₫,4
73,Nồi cơm nắp rời Sunhouse 1.8 lít SHD8125,,4.2
74,Nồi cơm nắp gài BlueStone 2.8 lít RCB-5538,,
75,Nồi cơm điện tử AVA 1.8 lít TP40-CT01E,,4.3
