id,name,price,point
1,Bộ 3 nồi inox 5 đáy nắp kính Green Cook GCS232-T1,,4.6
2,Bộ 3 nồi inox 3 đáy nắp kính Delites CW-B041-A,,3
3,Nồi inox 5 đáy nắp kính 18 cm Green Cook GCS243-18IH,,4.5
4,Bộ 3 nồi inox 3 đáy nắp kính Sunhouse SHG306,,4.3
5,Nồi inox 3 đáy nắp kính 20 cm Sunhouse SHG308-20,,5
6,Bộ nồi chảo inox 5 đáy nắp kính Green Cook GCS241-T1,,4.5
7,Bộ nồi chảo nhôm chống dính nắp kính Elmich EL1162E,,3.7
8,Nồi luộc gà inox 3 đáy nắp kính 28 cm Sunhouse SH28LG,,4.4
9,Bộ 3 nồi inox 5 đáy nắp kính Sunhouse SHG2503MSA,1.349.000₫,4.3
10,Bộ 3 nồi nhôm chống dính nắp kính Elmich EL-5210MN,,4.5
11,Nồi đất nắp kính 19 cm Dong hwa Tucbeghi G703,,4.5
12,Nồi đất nắp kính 21 cm Dong hwa Tucbeghi G704,,4.4
13,Bộ chảo quánh nhôm chống dính nắp kính Elmich Baby EL-1169AP,339.000₫,
14,Bộ 3 nồi inox 3 đáy nắp kính Elmich Trimax XR EL-3843,,4.4
15,Quánh nhôm chống dính nắp kính 16 cm Delites QCDE16,,
16,Nồi đất nắp kính 16 cm Dong hwa Tucbeghi G702,,4.7
17,Bộ 3 nồi inox 3 đáy nắp kính Elmich EL-2324MN,1.109.000₫,4.4
18,Nồi inox nắp kính 16 cm Elmich Tri-Max 2353731,409.000₫,4.4
19,Nồi inox 5 đáy nắp kính 20 cm Sunhouse Mama SHG2520MSD,299.000₫,4.3
20,Nồi inox nắp kính 24 cm Elmich Tri-Max 2353734,609.000₫,4.3
21,Bộ nồi quánh inox 5 đáy nắp kính Sunhouse SHG601,890.000₫,4.7
22,Nồi inox nắp kính 20 cm Elmich Tri-Max 2353733,,4.6
23,Bộ nồi quánh nhôm chống dính nắp kính Green Cook GCS229-T1,,4.4
24,Bộ 3 nồi nhôm chống dính nắp kính Elmich EL-5112YA,,4.4
25,Bộ 3 nồi nhôm anod nắp kính Sunhouse SH6634,499.000₫,4.5
26,Bộ nồi chảo nhôm chống dính nắp kính Delites BE010-20-26,,4.6
27,Nồi nhôm chống dính nắp kính 16 cm Delites NDE16,,
28,Nồi nhôm chống dính nắp kính 20 cm Delites NDE20,,
29,Bộ 3 nồi inox 5 đáy nắp kính Kangaroo KG2IP3S1,,
30,Quánh nhôm chống dính nắp kính 16 cm Sunhouse SMP151 Xanh lá,,2.9
31,Nồi nhôm anod 32 cm Sunhouse SHG2732SA,,4.7
32,Nồi inox 3 đáy nắp kính 24 cm Delites CW-S042-24A,,4.2
33,Bộ nồi quánh nhôm chống dính nắp kính Green Cook GCS227-T1,980.000₫,5
