id,name,price,point
1,Quạt điều hoà Daikiosan DM103,3.890.000₫,4.4
2,Quạt điều hòa Sunhouse SHD7727,3.790.000₫,3.9
3,Quạt điều hoà Daikiosan DM201,5.590.000₫,3.8
4,Quạt điều hoà Daikiosan DM102,2.690.000₫,4.2
5,Quạt điều hoà Delites RPD-30,1.590.000₫,4.0
6,Quạt điều hòa Rapido 6000D,5.000.000₫,3.9
7,Quạt điều hoà Daikiosan DM104,6.990.000₫,3.9
8,Quạt điều hoà Kangaroo KG50F99,5.890.000₫,4
9,Quạt điều hòa Delites DEL-AC07DR,990.000₫,3.8
10,Quạt điều hoà Kangaroo KG50F69,3.480.000₫,3.8
11,Quạt điều hòa Hòa Phát HPCF1-012,6.500.000₫,4.0
12,Quạt điều hoà Dmax RPD-90,3.890.000₫,3.9
13,Quạt điều hòa Hòa Phát HPCF1-033I,3.290.000₫,3.7
14,Quạt điều hoà Daikiosan DM205,10.100.000₫,
15,Quạt điều hòa Comfee CF-AC12AR,3.950.000₫,3.7
16,Quạt điều hòa Sunhouse SHD7757,4.590.000₫,4.0
17,Quạt điều hòa Hommy RPD-80,2.590.000₫,2.9
18,Quạt điều hòa Kangaroo KG50F88,3.990.000₫,4.2
19,Quạt điều hòa Sunhouse SHD7746,4.590.000₫,4.1
20,Quạt điều hoà Daikiosan DKA-03500C,5.490.000₫,4.3
