id,name,price,point
1,Máy sưởi Halogen Rapido RHH-1600M,480.000₫,4.8
2,Máy sưởi hồng ngoại Sunhouse SHD7013,459.000₫,4.3
3,Quạt sưởi halogen Sunhouse SHD7016,680.000₫,4.5
4,Quạt sưởi gốm ceramic Mutosi MCH-2200,1.890.000₫,3.8
5,Quạt sưởi gốm Rapdio RCH-2000SDW,1.090.000₫,
6,Quạt sưởi gốm Kangaroo KGAH06G,1.590.000₫,
7,Quạt sưởi hồng ngoại Sunhouse SHD7022,650.000₫,4.1
8,Quạt sưởi gốm Sunhouse SHD7071,1.890.000₫,3.9
9,Quạt sưởi carbon Sunhouse SHD7008 Trắng,890.000₫,4.6
10,Máy sưởi dầu Sunhouse SHD7084,1.890.000₫,3.3
11,Máy sưởi gốm Ceramic Mutosi MCH-2000,1.490.000₫,4.3
12,Quạt sưởi hồng ngoại Sunhouse SHD7023,490.000₫,4.4
13,Quạt sưởi Sunhouse SHD7005,999.000₫,4.4
14,Quạt sưởi gốm Kangaroo KGFH05,3.290.000₫,3.9
15,Quạt sưởi gốm Benny BHT-2400,1.990.000₫,
16,Quạt sưởi gốm ceramic Mutosi MCH-2000L,2.690.000₫,4.2
