id,name,price,point
1,Quạt đứng Senko 3 cánh DH1600 47W,559.000₫,4.3
2,Quạt lửng Asia 5 cánh VY538990 55W,,4.3
3,Quạt lửng Asia VY628890 75W,,4.7
4,Quạt đứng Asia 6 cánh VY639990 80W,,4.5
5,Quạt đứng Toshiba 5 cánh F-LSA20(H)VN 60W,,4.4
6,Quạt sàn Asia 6 cánh VY636790 80W,,4.7
7,Quạt lửng Senko 3 cánh L1638 47W,369.000₫,4.5
8,Quạt treo tường Senko 7 cánh TC1622 65W,449.000₫,4.5
9,Quạt bàn Senko 3 cánh B1213 40W,329.000₫,4.4
10,Quạt treo tường Asia 3 cánh VY377790 55W,,4.1
11,Quạt treo tường Senko 3 cánh TR1628 47W,549.000₫,4.4
12,Quạt lửng Senko 7 cánh LTS1636 65W,469.000₫,4.6
13,Quạt treo tường Asia 3 cánh VY357690 55W,,4.4
14,Quạt đứng Asia 5 cánh VY539790 55W,,4.4
15,Quạt đứng Midea MFS400M0BPW 55W,589.000₫,4.6
16,Quạt lửng Midea 3 cánh FTS40-17VD 36W,,4.2
17,Quạt bàn Senko 3 cánh B1612 47W,369.000₫,4.5
18,Quạt sàn Asia 5 cánh VY616990 55W,,4.7
19,Quạt đứng Toshiba 9 cánh DC inverter F-LSD10(W)VN 30W,1.890.000₫,4.3
20,Quạt treo tường Senko 3 cánh T1680 47W,359.000₫,4.3
21,Quạt đứng Senko 5 cánh DTS1609 60W,510.000₫,4.5
22,Quạt treo tường Toshiba 3 cánh F-WSA20(H)VN 55W,,4.1
23,Quạt đứng Toshiba 5 cánh F-LSA10(W)VN 50W,,4.5
24,Quạt hộp Senko 3 cánh BD1012 40W,319.000₫,4.4
25,Quạt treo tường Senko 3 cánh TC1626 47W,439.000₫,4.5
26,Quạt treo tường Asia 3 cánh VY377990 55W,,4.2
27,Quạt hộp Senko 5 cánh BD230 28W,239.000₫,4.2
28,Quạt lửng Asia 3 cánh VY358990 55W,,3.9
29,Quạt đứng Senko 7 cánh DR1608 65W,759.000₫,4.4
30,Quạt sạc điện Sunhouse 5 cánh SHD7223 24W,,4.3
31,Quạt đứng Toshiba F-ASB50VN(W) 55W,,4
32,Quạt treo tường AC 3 cánh AWF02A163 55W,,4.2
33,Quạt treo tường Midea 3 cánh FW40-6H 55W,,4.1
34,Quạt đứng Tefal 6 cánh VH689690 80W,,4.3
35,Quạt hộp AC 5 cánh ABF01A125 40W,,3.9
36,Quạt đứng Toshiba 5 cánh F-LSA10(H)VN 50W,990.000₫,4.4
37,Quạt lửng Senko 5 cánh LTS1632 60W,,4.8
38,Quạt treo tường Midea 3 cánh FW40 7JR 55W,,4.1
39,Quạt đứng Asia 5 cánh VY619990 55W,,4.5
40,Quạt lửng AC 5 cánh ALF02A145 50W,,4.1
41,Quạt lửng Sharp 3 cánh PJ-L40RV-DG 50W,,4
42,Quạt sạc điện Sunhouse 3 cánh SHD7115 15W,969.000₫,3.9
43,Quạt sạc điện AC 3 cánh ARF03D123 30W,1.190.000₫,4.1
44,Quạt hộp Midea 5 cánh FB40-9H 55W,,3.9
45,Quạt đứng Midea 3 cánh MFS070R0APBH 35W,,
46,Quạt đứng Mitsubishi Electric 3 cánh LV16S-RA CY-RD 47W,,4.4
47,Quạt đứng Mitsubishi Electric LV16-RB SF-GY 47W,,4.7
48,Quạt đứng Sharp 3 cánh PJ-S40RV-DG 50W,,4.2
49,Quạt bàn Lifan 3 cánh B-212 35W,,4.4
50,Quạt treo tường Mitsubishi Electric 3 cánh W16-RA CY-GY 47W,1.890.000₫,4.5
51,Quạt đứng Lifan 5 cánh Đ-616 45W,,4.2
52,Quạt sạc điện AC 3 cánh ARF01D113 10W,1.690.000₫,4.3
53,Quạt đứng Midea 5 cánh FS40-15Q 50W,,4.4
54,Quạt lửng Lifan 3 cánh QL-216 45W,,4.3
55,Quạt đứng Toshiba 9 cánh DC inverter F-LSD30(W)VN 30W,,4.5
56,Quạt đứng Lifan 5 cánh Đ-616A 45W,,4.2
57,Quạt trần Panasonic 3 cánh F-60MZ2 66W,,4.1
58,Quạt sạc điện Kangaroo 5 cánh KG748 24W,,
59,Quạt trần Panasonic 4 cánh F-56MPG-GO 59W,,3.6
60,Quạt hộp Asia 3 cánh F16001 45W,,4.0
61,Quạt trần Kangaroo 5 cánh KGSF056051 56W,2.390.000₫,2.9
62,Quạt đứng Sharp 3 cánh PJ-S40MV-LG 55W,749.000₫,4.6
63,Quạt sạc điện Kangaroo 5 cánh KG745 24W,,5
64,Quạt hộp Senko 3 cánh BD1410 47W,,4.6
65,Quạt sạc điện AC 3 cánh ARF01D103 6W,,4.3
66,Quạt hộp Midea KYT30-15A,,4.6
67,Quạt lửng Mitsubishi Electric 3 cánh R16A-GB CY-GY 45W,1.590.000₫,4.7
68,Quạt trần Rapido 3 cánh RCF-3W 80W,950.000₫,
69,Quạt lửng Comfee 3 cánh CF-FF4019VEW 48W,,4.2
70,Quạt đứng Benny 3 cánh FM16GX 50W,,3.9
71,Quạt trần Panasonic 3 cánh F-60MZ2-S 66W,,4.7
72,Quạt trần Panasonic 5 cánh F-60WWK 76W,,4.3
73,Quạt treo tường Kangaroo 5 cánh KG723 55W,490.000₫,4.1
74,Quạt bàn Mitsubishi Electric 5 cánh D12A-GB CY-RD 37W,,
75,Quạt treo tường Benny 3 cánh FMW16 50W,,4.5
76,Quạt đứng Kangaroo 5 cánh KG726 45W,,4.3
77,Quạt bàn Mitsubishi Electric 5 cánh D12-GA CY-RD 37W,,4.3
78,Quạt trần Mitsubishi Electric 4 cánh C56-RA4 SF-GY 64W,3.590.000₫,4.6
79,Quạt trần Panasonic 4 cánh F-56XPG-W 59W,,4
80,Quạt treo Lifan TE-1688,,
81,Quạt treo tường Toshiba 3 cánh F-AWZ50VN(H) 55W,,4.2
82,Quạt trần AC 5 cánh DC inverter ACF03D665 50W,,4.2
83,Quạt treo tường Lifan 3 cánh TE-1688 50W,,4.1
84,Quạt đứng Asia 3 cánh VY449690 55W,,4.2
85,Quạt đứng Toshiba trước 7 cánh - sau 9 cánh F-DSC80XVN(W) 25W,,
86,Quạt đứng KDK 3 cánh P41U 50W,,4.3
87,Quạt đứng AC 5 cánh ASF03A165 55W,,4.2
88,Quạt trần Mitsubishi Electric 5 cánh C56-RA5 SF-GY 65W,5.190.000₫,4.1
89,Quạt trần Kangaroo 5 cánh KG722DC 50W,2.920.000₫,3.4
90,Quạt trần Panasonic 5 cánh F-60WWK-S 76W,,5
91,Quạt sạc điện AVAN 3 cánh AVF-C30DC 15W,,
92,Quạt trần Rapido 5 cánh RCF-5W 100W,1.490.000₫,
93,Quạt đứng Kangaroo 9 cánh DC inverter KG729 33W,,3.9
94,Quạt trần AC 3 cánh ACF01A563 70W,1.090.000₫,3.8
95,Quạt trần Mitsubishi Electric 5 cánh C56-RA5 CY-GY 65W,,4.4
96,Quạt bàn Asia 3 cánh VY355790 55W,,4.4
97,Quạt trần Benny 3 cánh BDC60RM 33W,,3
