id,name,price,point
1,Robot hút bụi lau nhà Ecovacs N30 PRO OMNI,12.410.000₫,
2,Robot hút bụi lau nhà Xiaomi X20+,11.410.000₫,4.7
3,Robot hút bụi lau nhà Samsung VR05R5050WK/SV,6.610.000₫,3.8
4,Robot hút bụi lau nhà Xiaomi Vacuum E5 - Đen,2.410.000₫,4.3
5,Robot hút bụi lau nhà Xiaomi X20,9.410.000₫,4.2
6,Robot hút bụi lau nhà Dreame L10 Ultra,11.410.000₫,4.5
7,Robot hút bụi lau nhà Dreame L10S Ultra SE,12.910.000₫,4.3
8,Robot hút bụi lau nhà Ecovacs U2 Pro,4.069.000₫,4.3
9,Robot hút bụi lau nhà Hitachi RV-X15N,5.310.000₫,3.7
10,Robot hút bụi lau nhà Xiaomi Vacuum E5 - Trắng,2.410.000₫,
11,Robot hút bụi lau nhà Ecovacs T30 PRO OMNI - Trắng,18.320.000₫,5
12,Robot hút bụi lau nhà Dreame X40 Ultra,25.410.000₫,
13,Robot hút bụi lau nhà Dreame L10 Prime,10.410.000₫,4.1
14,Robot hút bụi lau nhà Hitachi RV-X20M,6.759.000₫,4.1
15,Robot hút bụi lau nhà Dreame L20 Ultra,19.410.000₫,5
16,Robot hút bụi lau nhà Ecovacs T30 PRO OMNI - Đen,18.320.000₫,
17,Robot hút bụi Eufy Robovac 15T - T2115,5.770.000₫,3.2
18,Robot hút bụi lau nhà Ecovacs T10,9.410.000₫,3.6
19,Robot hút bụi lau nhà Lydsto R1 Pro,10.440.000₫,5
20,Robot hút bụi lau nhà Ecovacs Y1 PRO,6.320.000₫,3.8
21,Robot hút bụi lau nhà Shimono RS38B,7.190.000₫,4
22,Robot hút bụi lau nhà Dreame F9 Pro,5.610.000₫,4
23,Robot hút bụi lau nhà Ecovacs Y1 PRO PLUS,8.320.000₫,
24,Robot hút bụi lau nhà Eufy Robovac G10 Hybrid - T2150,6.720.000₫,3.1
25,Robot hút bụi lau nhà Lydsto G2,7.010.000₫,3.9
26,Robot hút bụi lau nhà Shimono X6S,6.210.000₫,5
27,Robot hút bụi lau nhà Ecovacs Deebot X2 OMNI,19.410.000₫,4.5
28,Robot hút bụi lau nhà Samsung VR7MD96514G/SV,27.410.000₫,
29,Robot hút bụi lau nhà Xiaomi X20 Max,17.990.000₫,
30,Robot hút bụi Kangaroo KGRB01 Trắng,7.880.000₫,3.3
31,Robot hút bụi Kangaroo KGRB01 Nâu,7.160.000₫,3.2
32,Robot hút bụi Midea M3L,4.600.000₫,3
33,Robot hút bụi lau nhà Midea M6,6.310.000₫,3.4
34,Robot hút bụi lau nhà Ecovacs Deebot T9,9.410.000₫,3.8
35,Robot hút bụi lau nhà Lydsto G1,4.410.000₫,3.3
36,Robot hút bụi lau nhà Lydsto G4,2.990.000₫,4.7
37,Robot hút bụi lau nhà Shimono XR530,7.210.000₫,5
38,Robot hút bụi lau nhà Ecovacs X2 Combo,26.320.000₫,4
