id,name,price,point
1,Adapter sạc Apple USB-C 20W,550.000₫,4.7
2,Cáp Micro USB 1m Xmobile LTM-02,70.000₫,4.4
3,Cáp Type C - Type C 0.9m Anker 322 A81F5,80.000₫,4.7
4,Cáp Type C - Lightning MFi 0.9m Anker 542 Bio A80B1,315.000₫,
5,Adapter Sạc Type C IQ3 67W Anker A2671,330.000₫,4.3
6,Adapter chuyển đổi USB C 6 in 1 Ugreen 60384,890.000₫,
7,Bộ Đế sạc không dây 3 in 1 15W MagGo kèm Cáp Type C - Type C 1.5m Anker B2557,2.100.000₫,
8,Cáp Type C - Type C 240W 40 Gbps 1m Anker 515 A8487,490.000₫,
9,Đế sạc không dây 7 in 1 HUB Magnetic Qi2 15W Baseus MagPro BS-OH122,1.790.000₫,
10,Đế sạc không dây 2 in 1 Qi2 67W Magnetic kèm Cáp Type C - Type C Baseus PicoGo BSW-540,1.040.000₫,
11,Cáp Type C - Lightning 2m Xmobile LCL-05,220.000₫,
12,Cáp Type C - Lightning 1m Xmobile LPDC-21,175.000₫,4.3
13,Cáp Type C - Type C 1m Apple MQKJ3,550.000₫,4.6
14,Bộ Adapter sạc kèm cáp Type C - Type C PD 45W Samsung EP-T4511,850.000₫,4.2
15,Cáp Type C 1m Xmobile DS09CP-WB,90.000₫,4.3
16,Adapter chuyển đổi Type C 4 in 1 Xmobile DS122F,350.000₫,4.3
17,Sạc không dây MagPro 2 in 1 15W Baseus BS-W531,990.000₫,3
18,Bộ Adapter Sạc 3 cổng GaN5 Pro Fast 140W kèm Cáp Type C - Type C Baseus CCGAN140CS,1.505.000₫,
19,Cáp Thunderbolt 3 USB-C 0.8m Belkin F2CD084,880.000₫,
20,Cáp Type C 1m Ugreen 60126,70.000₫,4.3
21,Cáp Type C - Lightning MFI 1m Ugreen 60759,320.000₫,4.7
22,Cáp sạc không dây MagSafe Charger 1m Apple MHXH3,1.200.000₫,4.4
23,Cáp Type C - Type C 0.9m Anker A8865,310.000₫,
24,Cáp Lightning 0.2m AVA+ DR-L05,50.000₫,4.3
25,Cáp Type C 0.2m AVA+ DS06C,50.000₫,4.5
26,Adapter Sạc USB 12W AVA+ TCES1,100.000₫,4.5
27,Cáp Type C - Type C 2m Baseus Glimmer CB000025,200.000₫,4.5
28,Bộ Adapter Sạc 2 cổng USB Type C IQ3 kèm Cáp Type C - Type C 1.5m 20W Anker B2348,200.000₫,5
29,Bộ Adapter Sạc 4 cổng USB Type C PD QC 3.0 GaN6 Pro 65W kèm Cáp Type C - Type C 1m Baseus CCGAN65S6,675.000₫,5
30,Adapter Sạc Type C PD GaN 30W Xmobile MFM30,290.000₫,4.7
31,Adapter Sạc Type C IQ3 20W Anker Nano Pro A2637,195.000₫,5
