id,name,price,point
1,Tai nghe Bluetooth True Wireless Rezo Air 5 Deluxe ANC,800.000₫,2
2,Tai nghe TWS Samsung Galaxy Buds3 Pro R630N,5.090.000₫,3
3,Tai nghe TWS Samsung Galaxy Buds3 R530N,3.590.000₫,4.3
4,Tai nghe Bluetooth True Wireless Xiaomi Redmi Buds 6 Play,340.000₫,4
5,Tai nghe Có dây EP Type C Xiaomi,170.000₫,4
6,Tai nghe Bluetooth True Wireless Rezo K50,495.000₫,1
7,Tai nghe Bluetooth True Wireless OPPO ENCO Air 4 ETEE1,1.490.000₫,
8,Tai nghe Bluetooth Chụp tai soundcore H30i,650.000₫,
9,Tai nghe Bluetooth True Wireless AVA+ Go P310,250.000₫,5
10,Tai nghe Có Dây Apple MTJY3,550.000₫,4.7
11,Tai nghe Bluetooth True Wireless Rezo RZ09 ANC,620.000₫,
12,Tai nghe Bluetooth True Wireless soundcore K20i,390.000₫,
13,AirPods 4 (chống ồn) MXP93,4.790.000₫,5
14,Tai nghe Bluetooth True Wireless Samsung Galaxy Buds 2 Pro R510N,2.890.000₫,4.4
15,Tai nghe Bluetooth True Wireless AVA+ FreeGo Y50,350.000₫,4
16,AirPods Max,12.990.000₫,5
17,AirPods Max cổng USB C,13.190.000₫,
18,Tai nghe Bluetooth True Wireless Baseus Bowie E13,270.000₫,3.7
19,Tai nghe Bluetooth AirPods 3 Lightning Charge Apple MPNY3,4.090.000₫,4.6
20,Tai nghe Bluetooth AirPods Pro Gen 2 MagSafe Charge (USB-C) Apple MTJV3,5.790.000₫,4.1
21,Tai nghe Bluetooth AirPods 2 Lightning Charge Apple MV7N2,3.090.000₫,4.1
22,Tai nghe Bluetooth True Wireless Earphones 2 Basic Xiaomi BHR4089GL Trắng,1.585.000₫,3.7
23,Tai nghe Bluetooth True Wireless AVA+ Go F25,290.000₫,4.2
24,Tai nghe Bluetooth True Wireless AVA+ FreeGo PT52,290.000₫,3.2
25,Tai nghe Bluetooth True Wireless AVA+ FreeGo W28,290.000₫,
26,Tai nghe Có dây EP AVA+ PC-25,45.000₫,4.3
27,Tai nghe Bluetooth True Wireless AVA+ FreeGo W26,290.000₫,3.9
28,Tai nghe Bluetooth True Wireless OPPO ENCO Buds 2 ETE41,790.000₫,4.3
29,Tai nghe Có dây EP AVA+ LiveBass E1,135.000₫,4
30,AirPods 4 MXP63,3.490.000₫,5
