id,name,price,point
1,Thớt tre thái tròn có tay cầm 25 cm Delites 19102503-1,,4.5
2,Thớt lúa mạch oval 35 x 22 cm Delites LD-CB001B,,4.6
3,Thớt tre thái chữ nhật 35 x 25 cm Delites 19102502-2,,4.5
4,Thớt tre thái chữ nhật 33 x 24 cm Delites 19102401-3,,4.5
5,Thớt tre thái chữ nhật 34 x 25 cm Delites BG21013,,4.4
6,Thớt thái gỗ chữ nhật 28.5 x 20 cm Trường Sơn CA285,,4.8
7,Thớt tre thái chữ nhật 32 x 25 cm Delites 19102501-2,,4.9
8,Thớt tre thái chữ nhật 35 x 25 cm Delites BST20008-1,,4.8
9,Thớt tre thái tròn 32 cm Delites BG21022,,5
10,Thớt tre thái tròn 30 cm Delites BG20053,,4.6
11,Thớt thái gỗ chữ nhật 28.5 x 20 cm Trường Sơn KA285,,4.6
12,Thớt tre thái chữ nhật 32 x 25 cm Delites BS20022-1,,4.7
13,Thớt chặt gỗ tròn 30 cm Trường Sơn 300,,5
14,Thớt chặt gỗ tròn 27 cm Trường Sơn 270,,5
15,Thớt lúa mạch thái chữ nhật 26 x 19.7 cm Delites CF6524-1,,5
16,Thớt thái gỗ chữ nhật 27 x 17 cm Trường Sơn EV27,,
17,Thớt lúa mạch oval 41 x 25.5 cm Delites LD-CB001A,,4.7
18,Thớt lúa mạch thái chữ nhật 31 x 19.9 cm Delites CF6521-2,,
19,Thớt lúa mạch thái chữ nhật 37 x 25 cm Delites CF7159,,5
20,Thớt lúa mạch thái chữ nhật 41 x 25.5 cm Delites CF7160,,
21,Thớt tre thái tròn 30 cm Delites SC2007-NHAT,,4.2
22,Thớt tre thái chữ nhật 35 x 20 cm Delites SC3520-NHAT,,4
23,Thớt tre thái tròn 32 cm Delites BG30010,,4.5
24,Thớt tre thái chữ nhật 38 x 28 cm La Fonte 180572,,3.9
25,Thớt thái gỗ quả táo 32 cm Trường Sơn A32,,4.2
