id,name,price,point
1,Tủ đông Kangaroo 327 lít KG498KX2,8.490.000₫ *,4.1
2,Tủ đông Kangaroo 500 lít KGFZ560NG1,11.990.000₫,
3,Tủ đông Kangaroo 90 lít KG090C1N,3.690.000₫,
4,Tủ đông Kangaroo 415 lít KG415G2D,11.490.000₫,
5,Tủ đông Sanaky 100 lít VH-1599HYK,5.290.000₫,4.2
6,Tủ đông Hòa Phát 205 Lít HPF BD6205,5.290.000₫,
7,Tủ đông đứng Hòa Phát 147 Lít HPF UAH6147,4.490.000₫,4.3
8,Tủ đông Hòa Phát 352 Lít HPF AD6352,7.190.000₫,4.1
9,Tủ đông Sanaky 305 lít VH-4099A1,8.490.000₫,4.4
10,Tủ đông Hòa Phát 107 lít HPF AN6107,3.590.000₫,4.7
11,Tủ đông Hòa Phát 245 Lít HPF BD6245,5.790.000₫,4.2
12,Tủ đông Sanaky 220 lít VH-2899W1,5.990.000₫,4.3
13,Tủ đông SANAKY 208 Lít TD.VH255HY2,4.790.000₫,4.4
14,Tủ đông Sanaky Inverter 761 lít VH-8699HY3,17.890.000₫,4
15,Tủ mát Hoà Phát 280 lít HSR D6280,8.990.000₫,3.4
16,Tủ đông Sanaky 410 lít VH 5699HY,12.490.000₫,4.9
17,Tủ đông Sanaky Inverter 280 lít VH-4099W3,9.490.000₫,4.4
18,Tủ đông Sanaky 260 lít VH-3699W1,7.990.000₫,4.3
