id,name,price,point
1,Tủ lạnh Panasonic Inverter 326 lít NR-TL351GVKV,10.990.000₫,5
2,Tủ lạnh Samsung Inverter 280 lít RB27N4010BU/SV,8.990.000₫,4.2
3,Tủ lạnh Toshiba Inverter 460 lít Side By Side GR-RS600WI-PMV(37)-SG,12.640.000₫,4.1
4,Tủ lạnh Panasonic Inverter 366 lít NR-TL381GVKV,11.990.000₫,5
5,Tủ lạnh Panasonic Inverter 170 lít NR-BA190PPVN,4.990.000₫,4.6
6,Tủ lạnh LG Inverter 519 lít Side By Side GR-B256JDS,12.490.000₫,3.9
7,Tủ lạnh Samsung Inverter 307 lít RB30N4190BU/SV,12.790.000₫,4.2
8,Tủ lạnh Samsung Inverter 236 lít RT22M4032BU/SV,7.090.000₫,4.4
9,Tủ lạnh Panasonic Inverter 405 lít NR-TX461GPKV,12.690.000₫,4.6
10,Tủ lạnh Samsung Inverter 310 lít RB30N4010BU/SV,,4.1
11,Tủ lạnh Aqua Inverter 646 lít AQR-S682XA(SLB),16.390.000₫,1
12,Tủ lạnh Samsung Inverter 276 lít RB27N4190BU/SV,,4.4
13,Tủ lạnh Aqua Inverter 550 lít Side By Side AQR-S612XA(WCB),13.990.000₫,
14,Tủ lạnh Toshiba Inverter 180 lít GR-B22VU UKG,5.190.000₫,4.2
15,Tủ lạnh Samsung Inverter 488 lít Multi Door RF48A4000B4/SV,20.340.000₫,4.3
16,Tủ lạnh Toshiba Inverter 474 lít Multi Door GR-RF611WI-PGV(22)-XK,,3.1
17,Tủ lạnh Samsung Inverter 307 lít RB30N4190BY/SV,11.590.000₫,4.5
18,Tủ lạnh Aqua Inverter 550 lít Side By Side AQR-S612XA(CBC),12.990.000₫,2
19,Tủ lạnh Aqua Inverter 189 lít AQR-T220FA(FB),4.990.000₫,4.4
20,Tủ lạnh Samsung Inverter 236 lít RT22M4032BY/SV,,4.2
21,Tủ lạnh LG Inverter 266 Lít GV-B262WB,,4.5
22,Tủ lạnh Toshiba Inverter 233 lít GR-RT303WE-PMV(52),5.790.000₫,3.9
23,Tủ lạnh Panasonic Inverter 325 lít NR-BC361VGMV,,4.8
24,Tủ lạnh Funiki 120 lít HR T6120TDG,,3.4
25,Tủ lạnh Aqua Inverter 347 lít AQR-T400FA(WFB),7.990.000₫,4.4
26,Tủ lạnh Aqua Inverter 236 lít AQR-T260FA(FB),5.890.000₫,3.9
27,Tủ lạnh Aqua Inverter 469 lít Multi Door AQR-M536XA(WGB),16.990.000₫,4.9
28,Tủ lạnh Panasonic Inverter 417 lít NR-BX471GPKV,18.590.000₫,4.6
29,Tủ lạnh Toshiba Inverter 180 lít GR-RT234WE-PMV(52),4.990.000₫,4.1
30,Tủ lạnh LG Inverter 394 lít GN-D392BLA,,4.4
31,Tủ lạnh LG Inverter 217 lít GV-B212WB,5.990.000₫,4.5
32,Tủ lạnh LG Inverter 470 lít Multi Door GR-B50BL,13.640.000₫,4.3
33,Tủ lạnh Toshiba Inverter 249 lít GR-RT325WE-PMV(06)-MG,7.490.000₫,3.8
34,Tủ lạnh Samsung Inverter 256 lít RT25M4032BU/SV,,4.4
35,Tủ lạnh Panasonic Inverter 550 lít Multi Door NR-DZ601VGKV,24.490.000₫,4.5
36,Tủ lạnh Panasonic Inverter 234 lít NR-TV261BPKV,,4.6
37,Tủ lạnh Samsung Inverter 382 lít RT38CG6584B1SV,13.590.000₫,4.5
38,Tủ lạnh Aqua 90 lít AQR-D100FA(BS),,
39,Tủ lạnh Samsung Inverter 208 lít RT20HAR8DBU/SV,6.640.000₫,4.3
40,Tủ lạnh Aqua 50 lít AQR-D60FA(BS),,
41,Tủ lạnh Samsung Inverter 583 lít Side By Side RS57DG400EM9SV,15.490.000₫,
42,Tủ lạnh Aqua Inverter 456 lít Multi Door AQR-M525XA(FB),13.990.000₫,4.2
43,Tủ lạnh Samsung Inverter 655 lít Side by Side RS62R5001B4/SV,18.640.000₫,4.3
44,Tủ lạnh LG Inverter 519 lít Side By Side GR-B256BL,14.190.000₫,4.1
45,Tủ lạnh Panasonic Inverter 234 lít NR-TV261APSV,,4.6
46,Tủ lạnh Samsung Inverter 406 lít RT42CG6584B1SV,15.340.000₫,4.5
47,Tủ lạnh Toshiba Inverter 194 lít GR-RT252WE-PMV(52),5.290.000₫,4.0
48,Tủ lạnh Samsung Inverter 655 lít Side By Side RS62R5001M9/SV,,4.3
49,Tủ lạnh Panasonic Inverter 366 lít NR-TL381VGMV,,4.6
50,Tủ lạnh Toshiba Inverter 253 lít GR-RT329WE-PMV(52),6.290.000₫,3.7
51,Tủ lạnh Electrolux 94 lít EUM0930AD-VN,3.590.000₫,4.7
52,Tủ lạnh LG Inverter 374 lít GN-D372BLA,9.990.000₫,4.4
53,Tủ lạnh Aqua Inverter 212 lít AQR-T239FA(HB),,4.4
54,Tủ lạnh LG Inverter 374 lít LTD37BLM,9.890.000₫,
55,Tủ lạnh Toshiba Inverter 312 lít GR-RT416WE-PMV(58)-MM,,3.8
56,Tủ lạnh Panasonic Inverter 326 lít NR-TL351VGMV,12.490.000₫,4.6
57,Tủ lạnh Aqua Inverter 279 lít AQR-T300FA(WFB),7.990.000₫,4.3
58,Tủ lạnh Panasonic Inverter 255 lít NR-BV281BGMV,,4.9
59,Tủ lạnh Panasonic Inverter 300 lít NR-BV331WGKV,,4.9
60,Tủ lạnh Panasonic Inverter 268 lít NR-TV301VGMV,,4.7
61,Tủ lạnh Aqua 130 lít AQR-T150FA(BS),,4.2
62,Tủ lạnh LG Inverter 264 Lít GV-D262BL,7.290.000₫,4.6
63,Tủ lạnh LG Inverter 315 lít LTB31BLM,8.990.000₫,
64,Tủ lạnh Sharp Inverter 401 lít Multi Door SJ-FXP480VG-BK,,4.4
65,Tủ lạnh Aqua Inverter 358 lít AQR-T410FA(WGB),9.990.000₫,
66,Tủ lạnh Aqua Inverter 469 lít Multi Door AQR-M536XA(GB),16.990.000₫,4.8
67,Tủ lạnh Panasonic Inverter 377 lít NR-BX421GPKV,16.790.000₫,4.6
68,Tủ lạnh Toshiba Inverter 407 lít GR-RT535WE-PMV(06)-MG,,4.3
69,Tủ lạnh Toshiba Inverter 509 lít Multi Door GR-RF605WI-PMV(06)-MG,18.490.000₫,4.0
70,Tủ lạnh LG Inverter 635 Lít Side By Side InstaView Door-in-Door GR-X257BL,33.990.000₫,5
71,Tủ lạnh Samsung Inverter 382 lít Bespoke RT38CB6784C3SV,,4.5
72,Tủ lạnh Samsung Inverter 488 lít Multi Door RF48A4010M9/SV,,4.3
