id,name,price,point
1,Tủ lạnh Toshiba Inverter 180 lít GR-B22VU UKG,5.190.000₫,4.2
2,Tủ lạnh Samsung Inverter 280 lít RB27N4010BU/SV,8.990.000₫,4.2
3,Tủ lạnh Samsung Inverter 310 lít RB30N4010BU/SV,11.090.000₫,4.1
4,Tủ lạnh Panasonic Inverter 326 lít NR-TL351GVKV,14.690.000₫,5
5,Tủ lạnh LG Inverter 519 lít Side By Side GR-B256JDS,12.490.000₫,3.9
6,Tủ lạnh Samsung Inverter 307 lít RB30N4190BU/SV,13.490.000₫,4.2
7,Tủ lạnh Samsung Inverter 236 lít RT22M4032BU/SV,7.090.000₫,4.4
8,Tủ lạnh Aqua Inverter 646 lít AQR-S682XA(SLB),16.490.000₫,1
9,Tủ lạnh Samsung Inverter 276 lít RB27N4190BU/SV,11.990.000₫,4.4
10,Tủ lạnh Aqua Inverter 550 lít Side By Side AQR-S612XA(WCB),13.990.000₫,
11,Tủ lạnh Samsung Inverter 488 lít Multi Door RF48A4000B4/SV,19.990.000₫,4.3
12,Tủ lạnh Toshiba Inverter 474 lít Multi Door GR-RF611WI-PGV(22)-XK,16.990.000₫,3.1
13,Tủ lạnh Samsung Inverter 307 lít RB30N4190BY/SV,12.990.000₫,4.5
14,Tủ lạnh Panasonic Inverter 170 lít NR-BA190PPVN,6.790.000₫,4.6
15,Tủ lạnh Aqua Inverter 550 lít Side By Side AQR-S612XA(CBC),12.990.000₫,2
16,Tủ lạnh Toshiba Inverter 233 lít GR-RT303WE-PMV(52),5.990.000₫,3.9
17,Tủ lạnh Aqua Inverter 189 lít AQR-T220FA(FB),4.990.000₫,4.4
